,Region,445,451,458,465,472,479,486
0,Belgium,,19838,18507,18285,18580,18836,18731
1,Bulgaria,,11275,9842,10324,11824,13601,15329
2,Czechia,,14789,10666,10123,11920,14819,17497
3,Denmark,,4479,4287,4111,3919,3728,3524
4,Germany,,96153,101281,99720,98379,95962,95099
5,Estonia,,2983,2323,2300,2686,3122,3483
6,Ireland,,2592,2470,2327,2240,2184,2122
7,Greece,,16584,15521,15361,15733,16266,16829
8,Spain,,23409,24294,25207,26198,27159,27667
9,France,,307764,261035,273600,271675,258922,247220
10,Croatia,,11632,11668,11599,11118,10776,10539
11,Italy,,86738,70867,64934,63256,63851,63270
12,Cyprus,,4104,4602,4726,4721,4628,4603
13,Latvia,,2878,2715,2651,2603,2539,2504
14,Lithuania,,7344,8113,8340,8141,7949,7847
15,Luxembourg,,1240,1165,1093,1025,974,939
16,Hungary,,25893,20985,20984,22509,24534,26365
17,Malta,,355,357,380,400,416,432
18,Netherlands,,45805,43249,42073,40369,38611,36680
19,Austria,,16202,15275,14767,14199,13520,12857
20,Poland,,125716,123931,123871,122974,120791,118467
21,Portugal,,3751,4065,4389,4556,4668,4779
22,Romania,,25228,22925,22499,22633,22454,21924
23,Slovenia,,5493,5326,5240,5110,4945,4762
24,Slovakia,,3525,2719,2693,3054,3541,3963
25,Finland,,2353,2064,2026,2051,2102,2128
26,Sweden,,33626,34529,34241,33852,33311,32938
27,United Kingdom,,11565,8642,8212,9156,9984,10628
28,Iceland,,39,39,39,39,39,38
29,Liechtenstein,,38,32,32,32,32,32
30,Norway,,4687,4382,4261,4189,4179,4102
31,Switzerland,,12726,12989,12820,12264,11683,11215
