,Region,389,395,402,409,416,423,430
0,Belgium,,10193,9885,9719,9343,8930,8457
1,Bulgaria,,5819,6436,6499,6248,5854,5557
2,Czechia,,44247,46381,49229,51971,55379,59011
3,Denmark,,1992,1880,2028,2230,2453,2693
4,Germany,,33249,26256,25103,27494,30972,34256
5,Estonia,,4341,4495,4693,4836,5020,5226
6,Ireland,,4670,4137,4253,4783,5399,6006
7,Greece,,9044,9654,9040,7972,7095,6406
8,Spain,,64646,51982,49662,52249,57005,61048
9,France,,43937,42650,40834,41432,44641,47435
10,Croatia,,1456,1223,1234,1414,1658,1935
11,Italy,,78173,77265,77225,76952,76702,76603
12,Cyprus,,606,555,583,626,683,738
13,Latvia,,4101,4012,4123,4365,4624,4912
14,Lithuania,,1395,1303,1275,1507,1875,2170
15,Luxembourg,,786,776,764,760,763,767
16,Hungary,,12030,13893,15107,15329,15557,15973
17,Malta,,928,906,923,942,948,944
18,Netherlands,,20082,19416,21136,23685,27006,30735
19,Austria,,8915,9250,9795,10330,10838,11387
20,Poland,,38108,39781,41330,42623,44222,46568
21,Portugal,,7956,4461,4600,8027,12427,15747
22,Romania,,14805,13996,13347,12729,12139,11608
23,Slovenia,,4259,3644,3528,3608,3812,3978
24,Slovakia,,11722,13898,14176,14500,14935,15387
25,Finland,,2669,2663,2614,2519,2416,2323
26,Sweden,,15365,13589,12560,11869,11518,11463
27,United Kingdom,,61824,45079,40550,45890,59858,73979
28,Iceland,,6,3,2,2,2,2
29,Liechtenstein,,8,5,6,7,9,11
30,Norway,,1227,1211,1308,1430,1571,1703
31,Switzerland,,6262,5367,4992,4888,4958,5015
