,Region,592,598,605,612,619,626,633
0,Belgium,,10338,10252,10033,9776,9548,9180
1,Bulgaria,,8816,8479,8310,8286,8132,8036
2,Czechia,,1236,1383,1628,1852,2051,2233
3,Denmark,,3717,2966,2734,2884,3080,3182
4,Germany,,71242,87967,90092,88026,85064,81701
5,Estonia,,2178,2223,2236,2179,2087,1986
6,Ireland,,7630,6317,5987,6382,6683,6721
7,Greece,,14116,12481,12224,12869,13470,13943
8,Spain,,28912,23384,21662,21675,22483,23405
9,France,,55768,47058,52118,62038,73540,84322
10,Croatia,,4700,5434,5656,5240,4672,4112
11,Italy,,33104,30434,29716,29793,29905,29405
12,Cyprus,,968,843,947,1163,1399,1641
13,Latvia,,2909,4132,4414,3697,3284,3050
14,Lithuania,,4766,5316,5631,5610,5448,5315
15,Luxembourg,,445,489,514,527,534,539
16,Hungary,,1001,1217,1328,1342,1314,1282
17,Malta,,287,285,312,341,372,397
18,Netherlands,,15643,15332,15413,15254,14970,14544
19,Austria,,11094,11589,11664,11341,10790,10270
20,Poland,,2859,4058,4706,4728,4948,5376
21,Portugal,,10884,10742,10802,10980,11016,10956
22,Romania,,12730,20176,26794,26664,20354,18272
23,Slovenia,,3763,4449,4588,4241,3810,3434
24,Slovakia,,1265,1524,1738,1782,1730,1703
25,Finland,,4618,4654,4740,4782,4728,4753
26,Sweden,,5432,5428,5292,5157,4999,4894
27,United Kingdom,,223636,220212,218180,211664,202028,191164
28,Iceland,,259,221,211,227,252,277
29,Liechtenstein,,68,68,67,65,63,61
30,Norway,,12975,17316,19468,17696,15850,14812
31,Switzerland,,12828,13254,13221,12977,12684,12368
