,Region,487,493,500,507,514,521,528
0,Belgium,,11992,10989,11214,11972,12650,13145
1,Bulgaria,,1129,729,695,905,1202,1495
2,Czechia,,1866,943,723,925,1463,2064
3,Denmark,,6207,6297,6173,5958,5626,5269
4,Germany,,40477,34778,34150,36832,40269,43805
5,Estonia,,942,772,756,849,938,989
6,Ireland,,2960,2947,2928,2911,2873,2822
7,Greece,,10953,10450,10289,10407,10609,10813
8,Spain,,19922,17437,16347,16012,15902,15809
9,France,,728,0,0,323,5970,14438
10,Croatia,,1163,454,323,491,944,1531
11,Italy,,20719,13501,10768,11132,13875,16597
12,Cyprus,,385,203,162,206,355,501
13,Latvia,,1892,1644,1647,1776,1921,2032
14,Lithuania,,3151,2520,2586,3038,3401,3639
15,Luxembourg,,448,368,330,314,310,308
16,Hungary,,2264,1581,1483,1813,2423,3092
17,Malta,,9,0,0,3,7,14
18,Netherlands,,18825,14220,13061,14556,16807,18261
19,Austria,,2690,1764,1445,1529,1969,2250
20,Poland,,6193,3808,3185,3860,5455,7213
21,Portugal,,2869,3114,3316,3466,3622,3783
22,Romania,,2203,1431,1135,1215,1486,1763
23,Slovenia,,1218,903,897,1037,1223,1374
24,Slovakia,,798,596,573,622,729,813
25,Finland,,1361,1419,1446,1463,1481,1497
26,Sweden,,18082,14019,12042,10749,9923,9353
27,United Kingdom,,15516,16347,17493,18422,19237,20067
28,Iceland,,52,53,51,52,52,52
29,Liechtenstein,,33,36,37,37,37,36
30,Norway,,3024,3107,3206,3279,3297,3321
31,Switzerland,,5399,4973,4995,5289,5645,5888
