,Region,571,577,584,591,598,605,612
0,Belgium,,7962,8193,8368,8518,8614,8608
1,Bulgaria,,7828,12798,15936,13503,9629,7828
2,Czechia,,930,1012,1172,1344,1496,1625
3,Denmark,,6746,6921,6854,6578,6228,5874
4,Germany,,34002,39408,40613,37976,34748,31416
5,Estonia,,1855,1942,1952,1946,1910,1879
6,Ireland,,13059,14058,14112,13692,13069,12436
7,Greece,,22132,24882,27077,28832,30394,32036
8,Spain,,61834,54332,53224,56187,59998,62686
9,France,,117770,136914,136192,131941,127863,123146
10,Croatia,,1928,2259,2498,2528,2462,2369
11,Italy,,40600,40078,38770,37270,35890,34260
12,Cyprus,,1809,1488,1369,1503,1704,1867
13,Latvia,,773,964,1082,1107,1094,1100
14,Lithuania,,3364,3577,3582,3472,3300,3166
15,Luxembourg,,246,230,222,221,223,223
16,Hungary,,310,349,387,426,463,500
17,Malta,,419,442,474,501,516,529
18,Netherlands,,14552,14711,16236,17562,18634,19380
19,Austria,,7514,10719,11906,10206,9292,8655
20,Poland,,1326,1504,1618,1632,1593,1538
21,Portugal,,14530,15375,16892,18387,19744,21228
22,Romania,,2896,3767,4078,3618,2854,2224
23,Slovenia,,1354,1857,2241,2262,2164,2126
24,Slovakia,,419,490,510,495,466,438
25,Finland,,5517,5529,5268,5086,4876,4698
26,Sweden,,4503,4908,4966,4752,4452,4317
27,United Kingdom,,186643,198067,204814,209093,211324,213261
28,Iceland,,809,902,902,885,868,847
29,Liechtenstein,,25,18,19,19,19,18
30,Norway,,4468,5504,5818,5327,4796,4450
31,Switzerland,,7314,9358,11088,12146,12337,12422
