,Region,480,486,493,500,507,514,521
0,Belgium,,12881,11086,10536,10600,10827,10947
1,Bulgaria,,1916,1430,1491,1860,2330,2841
2,Czechia,,3504,2058,1671,1842,2474,3038
3,Denmark,,6621,7142,7512,7699,7737,7719
4,Germany,,56441,49801,48575,50312,52774,55072
5,Estonia,,1262,1070,1040,1137,1272,1384
6,Ireland,,2128,2335,2211,2113,2015,1921
7,Greece,,12829,12756,13089,13721,14408,15170
8,Spain,,23955,20031,17845,16704,15940,15140
9,France,,63526,47022,45305,49577,56680,63203
10,Croatia,,2501,1392,1295,1712,2492,3259
11,Italy,,31429,23121,21215,23653,27356,29583
12,Cyprus,,771,402,316,393,744,977
13,Latvia,,3728,3630,3553,3443,3346,3257
14,Lithuania,,6519,6212,5978,5714,5410,5079
15,Luxembourg,,636,568,536,514,496,484
16,Hungary,,3472,2407,2253,2906,4033,5152
17,Malta,,8,1,1,7,15,21
18,Netherlands,,25476,20888,21831,26150,30789,35092
19,Austria,,3826,2772,2528,3110,3731,4190
20,Poland,,12411,9116,9131,11709,15689,19632
21,Portugal,,2398,2597,2720,2776,2811,2823
22,Romania,,3183,2187,2170,2881,3974,5228
23,Slovenia,,2208,1828,1774,1843,1978,2089
24,Slovakia,,1088,932,926,1055,1249,1444
25,Finland,,1324,1250,1275,1332,1394,1455
26,Sweden,,25044,22456,20782,19560,18910,18306
27,United Kingdom,,15183,16002,16886,17583,18110,18545
28,Iceland,,30,22,19,18,17,17
29,Liechtenstein,,40,46,46,46,46,46
30,Norway,,2703,2663,2684,2728,2775,2831
31,Switzerland,,7938,7128,6734,6515,6407,6326
