,Region,382,388,395,402,409,416,423
0,Belgium,,13289,13173,13329,13667,14008,14226
1,Bulgaria,,5572,6331,6496,6086,5695,5462
2,Czechia,,41698,41326,41797,42187,42535,42716
3,Denmark,,1567,1000,1052,1434,1910,2394
4,Germany,,41062,33768,33943,37485,41838,45938
5,Estonia,,3370,3506,3599,3701,3806,3925
6,Ireland,,4587,3275,3480,4448,5630,6754
7,Greece,,9238,10745,10118,9351,9009,8567
8,Spain,,215877,202074,192168,185489,178303,173227
9,France,,107370,104386,108572,111409,113567,117086
10,Croatia,,2028,1827,1989,2355,2798,3256
11,Italy,,77405,77255,79101,81153,83260,84760
12,Cyprus,,876,891,891,883,873,862
13,Latvia,,4849,4954,5118,5298,5529,5792
14,Lithuania,,3039,2644,2843,3335,3930,4457
15,Luxembourg,,806,836,859,872,891,917
16,Hungary,,8401,8634,9100,9614,10256,10939
17,Malta,,690,625,612,640,677,720
18,Netherlands,,23699,20924,19954,19769,19483,19186
19,Austria,,8197,7647,7811,8136,8441,8759
20,Poland,,33495,33000,33770,34738,35578,36376
21,Portugal,,23333,25896,32493,35085,36568,37912
22,Romania,,14444,13920,14094,14518,14920,15136
23,Slovenia,,5415,4820,4718,4792,5084,5429
24,Slovakia,,11273,11562,11954,12440,13019,13586
25,Finland,,2872,2953,2917,2823,2712,2657
26,Sweden,,14938,12878,11972,11644,11701,11877
27,United Kingdom,,92088,69441,61651,66135,78124,86729
28,Iceland,,10,6,5,6,6,7
29,Liechtenstein,,18,14,14,18,21,23
30,Norway,,1380,1334,1400,1524,1664,1815
31,Switzerland,,7681,7038,6954,7150,7554,8093
