,Region,585,591,598,605,612,619,626
0,Belgium,,9678,10352,11036,11551,12182,12649
1,Bulgaria,,10376,11104,10374,9624,9043,8500
2,Czechia,,982,1009,1089,1154,1206,1228
3,Denmark,,5482,5226,5128,5045,4918,4726
4,Germany,,76284,95748,98567,87022,75520,66248
5,Estonia,,2267,2372,2432,2398,2300,2176
6,Ireland,,11987,11713,11206,10624,9966,9290
7,Greece,,19180,18588,17923,17134,16280,15371
8,Spain,,36816,30200,27810,27960,29873,31450
9,France,,83618,76612,78831,84204,90228,94310
10,Croatia,,3662,4854,5544,5578,5444,5450
11,Italy,,39932,37551,35407,33160,30841,28555
12,Cyprus,,1140,878,917,1070,1308,1500
13,Latvia,,1418,1685,1872,1859,1788,1730
14,Lithuania,,3328,3304,3307,3252,3162,3068
15,Luxembourg,,417,475,500,506,503,502
16,Hungary,,610,745,848,908,953,978
17,Malta,,248,219,232,256,286,313
18,Netherlands,,16234,17040,18022,18632,18940,19170
19,Austria,,11449,14296,15096,14300,14160,14296
20,Poland,,1488,1477,1436,1338,1218,1100
21,Portugal,,12635,13121,14111,15472,16794,18084
22,Romania,,8001,12280,16028,15674,12556,11212
23,Slovenia,,3382,4690,5561,5386,4968,4746
24,Slovakia,,591,637,647,634,602,578
25,Finland,,3480,3179,3166,3155,3150,3115
26,Sweden,,5521,5669,5446,5066,4686,4470
27,United Kingdom,,217991,235048,252878,268651,283508,298331
28,Iceland,,429,383,378,391,417,431
29,Liechtenstein,,37,37,37,37,37,37
30,Norway,,9715,13137,15524,14904,13386,12550
31,Switzerland,,14526,16072,16926,17330,17782,18020
