,Region,473,479,486,493,500,507,514
0,Belgium,,16219,15356,16068,17436,18905,20466
1,Bulgaria,,2998,2072,1917,2209,2564,2921
2,Czechia,,5442,4337,4725,6275,8221,10262
3,Denmark,,5248,5742,6252,6524,6624,6766
4,Germany,,80058,78998,76150,75112,75556,75478
5,Estonia,,1972,1975,2076,2187,2303,2394
6,Ireland,,3290,3320,3417,3501,3544,3586
7,Greece,,12318,11692,11926,12419,12887,13377
8,Spain,,34302,30328,26973,24315,22356,21130
9,France,,69718,55560,54225,59937,68182,78367
10,Croatia,,4788,3692,3751,4412,5141,5670
11,Italy,,47620,36084,32349,33376,36516,38407
12,Cyprus,,1825,1652,2041,2182,2246,2329
13,Latvia,,3948,3758,3822,3892,3937,4000
14,Lithuania,,7196,7264,7319,7285,7162,7047
15,Luxembourg,,745,664,612,578,556,530
16,Hungary,,5196,3447,3117,3868,5316,6934
17,Malta,,54,44,49,63,81,98
18,Netherlands,,40032,38072,37948,38236,38056,37327
19,Austria,,6308,4843,4327,4646,5284,5634
20,Poland,,20158,15079,14993,18091,22188,26458
21,Portugal,,1817,1533,1445,1388,1341,1293
22,Romania,,6080,4694,4307,4584,5097,5503
23,Slovenia,,2916,2818,2938,3120,3345,3532
24,Slovakia,,1371,1212,1155,1278,1480,1679
25,Finland,,1304,1301,1359,1443,1532,1620
26,Sweden,,26787,24261,22950,22296,21858,21524
27,United Kingdom,,13445,13064,12809,12419,12000,11542
28,Iceland,,25,18,17,17,18,18
29,Liechtenstein,,19,18,19,21,21,21
30,Norway,,2579,2515,2547,2611,2669,2712
31,Switzerland,,8973,7931,7309,6837,6497,6164
