,Region,529,535,542,549,556,563,570
0,Belgium,,476,677,1188,2018,2760,3428
1,Bulgaria,,291,284,316,381,455,536
2,Czechia,,823,841,927,978,1020,1042
3,Denmark,,3056,3220,2944,2922,2922,2922
4,Germany,,2848,2702,3068,3508,3984,4410
5,Estonia,,193,224,243,243,236,227
6,Ireland,,3693,4264,4619,4794,4839,4793
7,Greece,,7822,8319,7106,6738,6564,6307
8,Spain,,27564,33695,38614,42683,45478,47261
9,France,,15327,16068,15782,15180,14906,14358
10,Croatia,,466,492,514,521,526,528
11,Italy,,4411,4452,4694,4904,5133,5332
12,Cyprus,,6268,8708,6042,4681,4309,4056
13,Latvia,,212,160,167,213,264,315
14,Lithuania,,105,64,65,88,118,150
15,Luxembourg,,268,376,427,417,386,356
16,Hungary,,131,98,92,105,127,151
17,Malta,,32,23,23,23,23,23
18,Netherlands,,6146,6775,7008,7114,7148,7168
19,Austria,,268,184,187,238,303,360
20,Poland,,316,227,245,341,488,648
21,Portugal,,16767,22275,25822,24682,23538,23333
22,Romania,,223,199,219,258,310,364
23,Slovenia,,47,19,18,35,65,99
24,Slovakia,,90,72,82,103,127,152
25,Finland,,1629,2092,2064,1870,1737,1602
26,Sweden,,1911,1894,1877,1892,1876,1903
27,United Kingdom,,209240,307606,386916,372223,310122,290507
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,6,6,6,7,6,6
30,Norway,,1170,1208,1242,1287,1316,1350
31,Switzerland,,510,511,520,528,524,527
