,Region,543,549,556,563,570,577,584
0,Belgium,,7770,9046,9294,8784,8142,7611
1,Bulgaria,,417,413,440,474,504,532
2,Czechia,,1574,1891,2134,2277,2330,2354
3,Denmark,,10636,16869,18444,13720,11362,10120
4,Germany,,11019,13294,12674,12060,11590,11010
5,Estonia,,341,372,401,410,410,406
6,Ireland,,7642,9275,9754,9428,9128,8810
7,Greece,,21684,27871,28581,24780,22090,19983
8,Spain,,185740,229707,192057,156315,141056,131844
9,France,,80577,126452,125646,96494,81879,73330
10,Croatia,,857,977,1012,925,840,763
11,Italy,,24356,34783,29434,25225,22830,20638
12,Cyprus,,6375,6707,6958,7118,7146,7138
13,Latvia,,177,155,174,211,249,289
14,Lithuania,,725,819,705,634,595,556
15,Luxembourg,,584,587,604,620,634,641
16,Hungary,,202,206,218,233,249,266
17,Malta,,4136,4770,2956,2275,2084,1941
18,Netherlands,,127790,233214,198416,134042,111598,100830
19,Austria,,3177,4239,3416,3082,2835,2576
20,Poland,,575,629,679,711,754,793
21,Portugal,,26044,30182,31322,29356,25358,21556
22,Romania,,478,550,549,533,516,504
23,Slovenia,,266,294,311,321,325,325
24,Slovakia,,146,95,104,115,127,138
25,Finland,,2393,2562,2535,2416,2267,2134
26,Sweden,,1094,1016,959,924,914,916
27,United Kingdom,,372494,440712,425520,395823,364755,336362
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,6,7,7,7,7,7
30,Norway,,1070,1022,1012,1009,1004,990
31,Switzerland,,1371,1414,1459,1502,1536,1566
