,Region,396,402,409,416,423,430,437
0,Belgium,,13053,12503,12613,12565,12541,12368
1,Bulgaria,,6572,6977,6907,6550,6119,5736
2,Czechia,,62513,72086,79327,81905,84611,87842
3,Denmark,,3308,3484,3617,3664,3726,3805
4,Germany,,48329,48926,50136,50086,49694,48839
5,Estonia,,5339,5874,6153,6227,6317,6462
6,Ireland,,5112,4948,5036,5288,5621,5918
7,Greece,,8721,8081,7838,7623,7398,7198
8,Spain,,40612,29581,26837,28237,30771,34621
9,France,,28171,21713,18824,19208,21690,24551
10,Croatia,,1881,1787,1786,1778,1774,1760
11,Italy,,85286,86198,88882,91286,93812,96508
12,Cyprus,,700,685,656,621,584,548
13,Latvia,,3678,3220,3043,2969,2938,2898
14,Lithuania,,2812,2702,2801,2958,3149,3321
15,Luxembourg,,939,978,1005,1014,1024,1045
16,Hungary,,19125,23960,26081,24224,22827,22319
17,Malta,,1022,1069,1125,1184,1250,1307
18,Netherlands,,27034,28206,29405,29812,30136,30377
19,Austria,,13265,14763,15612,16521,17501,18685
20,Poland,,58197,66744,69180,68593,68894,70691
21,Portugal,,5348,2582,1962,2750,4813,7074
22,Romania,,16637,16883,17655,18441,19290,20218
23,Slovenia,,3635,3339,3468,3707,4054,4281
24,Slovakia,,13372,13358,13684,13908,14096,14505
25,Finland,,3507,3714,3821,3844,3763,3662
26,Sweden,,18648,19273,19149,19010,18947,19356
27,United Kingdom,,54011,44010,44525,53763,67814,82296
28,Iceland,,5,4,4,4,4,4
29,Liechtenstein,,2,0,0,0,0,2
30,Norway,,1965,1950,2007,2040,2090,2129
31,Switzerland,,5193,4075,3416,3101,2957,2865
