,Region,550,556,563,570,577,584,591
0,Belgium,,9830,10538,10107,8860,7821,7080
1,Bulgaria,,826,1017,1099,1081,1040,1026
2,Czechia,,886,896,900,878,851,808
3,Denmark,,4160,4199,4716,4969,5061,5214
4,Germany,,11664,14349,16170,16093,16062,16368
5,Estonia,,793,1086,1141,1048,989,945
6,Ireland,,10282,13028,13696,12774,12168,11502
7,Greece,,16688,17250,17694,18214,18666,18955
8,Spain,,276906,358338,315775,227192,184220,162132
9,France,,182362,319860,311718,207976,168222,149285
10,Croatia,,1085,1270,1326,1324,1322,1338
11,Italy,,45380,72446,76620,54313,46955,42306
12,Cyprus,,6720,7115,7207,7187,7136,7076
13,Latvia,,299,315,340,358,370,380
14,Lithuania,,2079,3293,2676,2067,1841,1640
15,Luxembourg,,436,413,412,412,425,424
16,Hungary,,361,435,475,478,479,488
17,Malta,,855,794,830,931,1044,1150
18,Netherlands,,29832,31422,35450,38562,40454,42352
19,Austria,,2739,3205,3349,3239,3050,2852
20,Poland,,725,838,949,1068,1194,1330
21,Portugal,,19549,19628,19404,18857,18242,17570
22,Romania,,772,905,958,961,936,914
23,Slovenia,,361,376,376,364,348,328
24,Slovakia,,185,144,161,174,189,197
25,Finland,,3604,4292,4470,4057,3672,3451
26,Sweden,,1448,1448,1438,1452,1458,1468
27,United Kingdom,,218167,220579,234170,241244,247890,250626
28,Iceland,,117,33,33,33,36,34
29,Liechtenstein,,9,9,9,9,9,9
30,Norway,,1254,1331,1444,1545,1617,1680
31,Switzerland,,4201,5281,5062,4310,3866,3530
