,Region,613,619,626,633,640
0,Belgium,,10030,9872,9706,9546
1,Bulgaria,,9798,10293,10750,11050
2,Czechia,,2608,2497,2394,2222
3,Denmark,,2544,2685,2812,2859
4,Germany,,39677,37148,38296,40204
5,Estonia,,3260,3616,3968,4194
6,Ireland,,8058,7823,8166,8638
7,Greece,,12429,12903,13690,14639
8,Spain,,9970,7592,6864,6997
9,France,,12326,6850,8054,11894
10,Croatia,,6204,6022,6150,6222
11,Italy,,17684,14201,13252,13886
12,Cyprus,,115,86,245,498
13,Latvia,,4611,5050,4998,4584
14,Lithuania,,9050,10554,11730,12134
15,Luxembourg,,415,417,421,424
16,Hungary,,2657,3105,3366,3444
17,Malta,,73,56,53,63
18,Netherlands,,8212,6818,6774,7295
19,Austria,,10204,9774,9512,9222
20,Poland,,5554,6171,6194,5684
21,Portugal,,3006,2216,2154,2594
22,Romania,,66146,108006,142970,134657
23,Slovenia,,4189,4315,4302,4242
24,Slovakia,,6961,9100,8915,7546
25,Finland,,3189,3168,3414,3680
26,Sweden,,4280,3366,2838,2511
27,United Kingdom,,217407,225316,226932,217286
28,Iceland,,165,164,163,163
29,Liechtenstein,,39,42,42,43
30,Norway,,3232,2632,2532,2712
31,Switzerland,,4989,4169,4202,4662
