,Region,438,444,451,458,465,472,479
0,Belgium,,25079,24938,24298,23366,22371,21315
1,Bulgaria,,18649,17448,16765,16325,16043,15743
2,Czechia,,17388,12906,12600,15066,18805,22121
3,Denmark,,4368,4515,4603,4635,4558,4479
4,Germany,,102518,97452,95630,94758,93436,93715
5,Estonia,,3274,2815,2990,3589,4039,4388
6,Ireland,,3713,3867,3934,4001,4041,4085
7,Greece,,20110,20568,20839,20564,19909,19201
8,Spain,,24077,24646,25254,25747,26298,27155
9,France,,305799,300965,320171,320069,308642,301319
10,Croatia,,14327,18471,19877,17738,14822,12875
11,Italy,,113101,101938,98487,98521,99040,97250
12,Cyprus,,3234,3595,3693,3603,3527,3451
13,Latvia,,2623,2479,2469,2508,2627,2726
14,Lithuania,,6308,7068,7378,7357,7310,7331
15,Luxembourg,,1274,1325,1367,1376,1379,1389
16,Hungary,,39017,35741,35924,36787,37440,37382
17,Malta,,141,80,86,137,202,255
18,Netherlands,,46862,45914,45343,44133,42496,40920
19,Austria,,21421,21411,21136,20468,19652,18831
20,Poland,,168778,169983,173849,174617,175787,176553
21,Portugal,,1915,2008,2155,2429,2705,2987
22,Romania,,33635,32698,32129,31458,30721,29766
23,Slovenia,,6532,7020,7428,7557,7530,7472
24,Slovakia,,4539,3574,3484,3827,4400,4940
25,Finland,,2572,2432,2480,2519,2549,2543
26,Sweden,,29966,30361,29587,28780,27822,27677
27,United Kingdom,,18204,14038,13090,14612,15767,16170
28,Iceland,,33,34,33,33,34,33
29,Liechtenstein,,24,23,23,23,23,23
30,Norway,,5001,4625,4446,4312,4208,4098
31,Switzerland,,14712,16332,16784,16328,15543,15090
