,Region,522,528,535,542,549,556,563
0,Belgium,,2313,2726,2781,2844,2884,2919
1,Bulgaria,,272,213,228,301,403,509
2,Czechia,,309,204,265,416,590,755
3,Denmark,,886,706,781,1003,1247,1502
4,Germany,,2067,1127,920,1170,1667,2179
5,Estonia,,97,54,53,67,90,111
6,Ireland,,2046,1941,1940,1962,1987,2002
7,Greece,,2140,1814,1721,1757,1815,1867
8,Spain,,20107,20226,19667,18626,17428,16336
9,France,,4003,1521,1394,2157,3558,5162
10,Croatia,,190,113,135,206,296,397
11,Italy,,3516,2303,1909,2000,2322,2626
12,Cyprus,,1902,3147,2657,1862,1645,1512
13,Latvia,,198,107,98,131,185,237
14,Lithuania,,74,17,8,15,48,101
15,Luxembourg,,55,40,34,33,35,38
16,Hungary,,100,76,83,115,156,202
17,Malta,,18,20,20,20,20,20
18,Netherlands,,2676,1950,1871,2324,3129,4121
19,Austria,,384,271,242,276,335,395
20,Poland,,389,255,264,388,605,884
21,Portugal,,10564,13050,14718,14939,15053,15089
22,Romania,,259,198,190,210,241,269
23,Slovenia,,85,42,44,69,112,153
24,Slovakia,,106,75,83,111,146,173
25,Finland,,471,461,518,578,641,702
26,Sweden,,3072,3071,3068,3060,3069,3032
27,United Kingdom,,122485,163716,185002,168581,146139,126795
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,5,6,6,6,6,6
30,Norway,,1175,1159,1169,1175,1193,1218
31,Switzerland,,411,250,186,185,215,258
