,Region,459,465,472,479,486,493,500
0,Belgium,,18995,19314,20431,21783,23101,24498
1,Bulgaria,,6798,5504,5719,6559,7723,8950
2,Czechia,,7887,5434,5497,7211,9601,11809
3,Denmark,,4667,4837,4919,4926,4931,4915
4,Germany,,130240,131326,136878,140274,142794,144257
5,Estonia,,1656,1335,1356,1600,1975,2335
6,Ireland,,2965,3055,3234,3396,3546,3682
7,Greece,,15755,15237,14865,14441,14058,13514
8,Spain,,34371,33995,34134,34257,34589,35104
9,France,,77481,65697,69552,75547,80034,84816
10,Croatia,,10942,10507,10650,10902,11199,11573
11,Italy,,72167,64779,64351,66945,69703,71819
12,Cyprus,,6897,8704,9468,9087,8748,8505
13,Latvia,,3520,3654,3826,4025,4246,4539
14,Lithuania,,6782,6774,6626,6367,5999,5666
15,Luxembourg,,918,861,831,804,784,769
16,Hungary,,9980,6263,5779,7461,10384,13962
17,Malta,,154,136,142,160,179,196
18,Netherlands,,53067,56977,61187,65091,68622,72153
19,Austria,,12787,11484,11338,11577,11906,12088
20,Poland,,36640,21626,18175,22400,32248,43941
21,Portugal,,2710,2485,2409,2362,2312,2216
22,Romania,,11515,8465,7324,7751,8853,9689
23,Slovenia,,3172,2797,2791,2903,3013,3084
24,Slovakia,,2280,1782,1847,2222,2703,3161
25,Finland,,1295,1073,1031,1100,1219,1325
26,Sweden,,33718,33183,32019,31160,30004,29185
27,United Kingdom,,15668,15957,16364,16792,17159,17461
28,Iceland,,67,77,79,74,68,62
29,Liechtenstein,,85,87,87,82,75,70
30,Norway,,2442,2173,2048,2105,2208,2266
31,Switzerland,,12185,11982,11794,11599,11394,11215
