,Region,466,472,479,486,493,500,507
0,Belgium,,16539,15860,16390,17519,18912,20139
1,Bulgaria,,4143,2843,2623,3055,3698,4355
2,Czechia,,7541,6099,7124,9452,12616,16142
3,Denmark,,4959,5235,5625,5927,6217,6471
4,Germany,,83731,79745,79074,80650,82575,84088
5,Estonia,,1678,1544,1713,2002,2267,2551
6,Ireland,,3532,3806,3985,4138,4229,4335
7,Greece,,11413,11613,11117,10980,10897,10731
8,Spain,,37142,36558,35892,35719,35595,36162
9,France,,50909,36928,36683,43467,51856,61463
10,Croatia,,8399,8054,8098,8243,8366,8384
11,Italy,,65850,62976,64659,69734,76198,82670
12,Cyprus,,3082,2714,2973,3162,3216,3294
13,Latvia,,3884,4040,4199,4351,4450,4616
14,Lithuania,,7529,7420,7277,6985,6593,6208
15,Luxembourg,,864,811,777,759,744,723
16,Hungary,,6811,4097,3559,4250,5712,7295
17,Malta,,75,57,56,68,88,107
18,Netherlands,,44289,43839,41701,39375,37032,34674
19,Austria,,10959,9945,9739,9971,10340,10730
20,Poland,,22630,13190,11124,13537,19406,25431
21,Portugal,,2164,1896,1787,1720,1663,1596
22,Romania,,7174,4859,4182,4729,6198,7502
23,Slovenia,,3495,3481,3563,3673,3785,3878
24,Slovakia,,2001,1617,1720,2064,2494,2956
25,Finland,,950,762,718,779,873,947
26,Sweden,,31873,27625,25567,23940,22642,21719
27,United Kingdom,,12556,11018,10217,9714,9257,8861
28,Iceland,,78,82,79,72,64,59
29,Liechtenstein,,48,51,49,49,49,49
30,Norway,,1995,1763,1799,1958,2155,2345
31,Switzerland,,11585,10894,10283,9731,9179,8698
