,Region,403,409,416,423,430,437,444
0,Belgium,,16676,17173,17617,18039,18374,18955
1,Bulgaria,,10460,12749,14007,14200,13772,13435
2,Czechia,,79307,91128,98169,98762,98016,98783
3,Denmark,,3790,4040,4237,4391,4566,4722
4,Germany,,52131,53943,56048,57689,59061,60900
5,Estonia,,8440,9661,10279,10130,9841,9699
6,Ireland,,4123,3849,3914,4209,4608,5021
7,Greece,,13088,15522,16118,14782,13259,12250
8,Spain,,32497,27530,28829,33308,39092,45341
9,France,,73741,84914,86075,86147,85718,87494
10,Croatia,,3018,3147,3320,3465,3623,3815
11,Italy,,134108,160092,167309,167296,169482,175839
12,Cyprus,,2367,2957,2153,1987,1945,1888
13,Latvia,,3774,3674,3775,3919,4139,4311
14,Lithuania,,5442,4761,4787,4525,4249,4018
15,Luxembourg,,1019,1089,1131,1167,1197,1234
16,Hungary,,35985,52402,56687,44434,38301,35614
17,Malta,,1726,1834,1919,1967,2020,2064
18,Netherlands,,31486,34060,36315,38589,41056,43947
19,Austria,,15403,17116,17877,18510,18859,19484
20,Poland,,83307,101329,104779,95394,89787,86174
21,Portugal,,3590,2284,2453,3854,5553,7337
22,Romania,,24926,29804,32136,32866,33672,35370
23,Slovenia,,3612,3425,3653,3935,4276,4519
24,Slovakia,,14261,14605,15140,15624,16164,16679
25,Finland,,4480,5032,5378,5426,5407,5472
26,Sweden,,22017,23414,24241,24421,24535,25031
27,United Kingdom,,42338,36965,38634,46042,55586,65985
28,Iceland,,11,13,13,13,13,13
29,Liechtenstein,,10,11,12,12,12,12
30,Norway,,3058,3441,3462,3353,3205,3118
31,Switzerland,,5848,5828,5753,5673,5584,5549
