,Region,452,458,465,472,479,486,493
0,Belgium,,18530,17112,17145,17505,17841,17991
1,Bulgaria,,9441,7727,7363,7644,8275,8886
2,Czechia,,11717,9868,11121,14089,17284,20591
3,Denmark,,4729,4722,4791,4688,4545,4364
4,Germany,,148163,174139,180093,171752,159710,151887
5,Estonia,,2300,1699,1802,2232,2735,3194
6,Ireland,,2341,2277,2205,2168,2145,2113
7,Greece,,19552,18826,18042,17394,16624,15736
8,Spain,,25475,26472,27394,28481,29249,30430
9,France,,102508,94271,96354,100641,107184,109899
10,Croatia,,11657,11301,11235,11095,10851,10799
11,Italy,,77088,66614,63814,65198,67534,67676
12,Cyprus,,5329,5813,6012,5968,5873,5759
13,Latvia,,3365,3434,3556,3651,3771,3905
14,Lithuania,,7296,7849,8002,7788,7425,7067
15,Luxembourg,,976,917,882,857,846,842
16,Hungary,,17852,13473,12834,15129,18748,22177
17,Malta,,331,334,339,342,345,347
18,Netherlands,,52735,55097,56105,55477,53916,52493
19,Austria,,13955,12858,12604,12566,12449,12226
20,Poland,,68860,56017,56217,64335,74065,81915
21,Portugal,,3075,3205,3382,3542,3709,3828
22,Romania,,15652,11991,11309,12473,13874,14872
23,Slovenia,,3787,3542,3547,3620,3661,3683
24,Slovakia,,2961,2256,2342,2694,3174,3554
25,Finland,,2066,1724,1759,1915,2096,2267
26,Sweden,,31954,31906,30884,29415,28448,28155
27,United Kingdom,,16832,17153,17907,18662,19258,19902
28,Iceland,,42,42,42,42,42,42
29,Liechtenstein,,40,40,40,39,40,39
30,Norway,,3051,2705,2639,2745,2912,3077
31,Switzerland,,11311,11886,12278,12531,12673,12821
