,Region,578,584,591,598,605,612,619
0,Belgium,,8992,9598,10319,11105,11948,12568
1,Bulgaria,,10336,13370,12260,9618,8382,7624
2,Czechia,,969,1072,1212,1347,1479,1578
3,Denmark,,6544,6711,6589,6312,5990,5676
4,Germany,,63446,92088,109768,96048,83909,79182
5,Estonia,,1493,1560,1612,1662,1694,1719
6,Ireland,,13020,13660,13664,13275,12668,12010
7,Greece,,21816,23176,24246,25304,26141,26958
8,Spain,,47610,39506,36820,36730,38296,39543
9,France,,109482,102225,103904,110132,114197,116752
10,Croatia,,2930,3758,4154,4073,3819,3698
11,Italy,,38662,36835,36049,34994,33724,32590
12,Cyprus,,1704,1472,1514,1756,2060,2326
13,Latvia,,1010,1256,1400,1443,1466,1490
14,Lithuania,,3457,3606,3680,3682,3665,3607
15,Luxembourg,,334,364,368,354,334,315
16,Hungary,,406,426,422,411,406,400
17,Malta,,331,331,356,379,403,425
18,Netherlands,,16178,17403,19322,21056,22721,24166
19,Austria,,9193,11390,11924,11569,11146,10742
20,Poland,,1470,1510,1482,1389,1268,1157
21,Portugal,,13730,14155,15210,16211,17192,18074
22,Romania,,4796,6668,7566,6585,5570,4737
23,Slovenia,,2256,2977,3501,3579,3483,3401
24,Slovakia,,546,602,640,645,627,613
25,Finland,,3745,3642,3642,3614,3599,3525
26,Sweden,,5145,5833,6074,5935,5708,5618
27,United Kingdom,,219976,244380,265424,276077,281567,288582
28,Iceland,,430,375,374,402,448,491
29,Liechtenstein,,33,32,32,32,32,32
30,Norway,,4728,5097,5002,4652,4194,3800
31,Switzerland,,15802,19852,20860,18754,16628,15226
