,Region,410,416,423,430,437,444,451
0,Belgium,,15219,16100,17092,18021,18884,19781
1,Bulgaria,,17076,21641,23575,22184,19819,18324
2,Czechia,,70773,71060,72470,72798,72923,72661
3,Denmark,,3688,3793,3838,3850,3807,3772
4,Germany,,55723,57320,58496,58565,58102,57605
5,Estonia,,10757,12592,13187,12542,12127,11716
6,Ireland,,3222,2771,2655,2792,2995,3199
7,Greece,,16546,20837,23130,22782,21913,21320
8,Spain,,22921,17433,16562,18028,20684,23726
9,France,,129726,130998,136168,140665,145769,152292
10,Croatia,,3382,3730,3951,4037,4027,4080
11,Italy,,156354,179372,185570,186089,182212,183596
12,Cyprus,,2434,3074,2981,2750,2606,2468
13,Latvia,,3534,3364,3334,3363,3435,3542
14,Lithuania,,2107,1832,1864,2038,2268,2479
15,Luxembourg,,945,915,891,867,854,835
16,Hungary,,47949,68113,85519,84418,69644,65394
17,Malta,,1981,2288,2400,2382,2353,2312
18,Netherlands,,27833,27424,28080,28788,29294,29598
19,Austria,,15438,16234,16560,16345,15933,15401
20,Poland,,101152,126674,145504,145244,132714,125124
21,Portugal,,3477,2806,3121,4035,4974,5865
22,Romania,,27940,32400,35659,36842,37926,39488
23,Slovenia,,3988,3998,4229,4478,4752,5028
24,Slovakia,,14242,14672,14766,14755,14829,15051
25,Finland,,4919,5629,5882,5881,5918,5919
26,Sweden,,23528,24973,25540,25484,25430,25692
27,United Kingdom,,31636,24281,22033,23799,27028,29950
28,Iceland,,10,11,11,11,11,11
29,Liechtenstein,,11,13,14,15,16,17
30,Norway,,4794,5666,5947,5633,5299,5021
31,Switzerland,,6351,6592,6948,7306,7738,8241
