,Region,431,437,444,451,458,465,472
0,Belgium,,38094,44416,46686,44690,42425,41061
1,Bulgaria,,21065,19942,19146,18606,18263,18049
2,Czechia,,28889,24040,24396,29560,36089,41520
3,Denmark,,4888,4743,4809,4766,4623,4482
4,Germany,,112438,143208,148521,143329,137642,132682
5,Estonia,,5669,4633,4545,5104,5527,5821
6,Ireland,,3900,4060,4220,4362,4470,4593
7,Greece,,15902,15971,16335,16812,17278,17809
8,Spain,,38110,44375,47314,47589,46890,46315
9,France,,263072,297083,311617,305442,295596,290229
10,Croatia,,11055,14295,16244,15521,13807,12844
11,Italy,,130304,122920,119304,115405,110580,105155
12,Cyprus,,2024,1981,1965,1955,1934,1898
13,Latvia,,3149,3093,3172,3256,3337,3471
14,Lithuania,,4347,5011,5459,5700,5858,6002
15,Luxembourg,,1161,1215,1253,1284,1322,1362
16,Hungary,,59052,60495,60368,59598,58362,56759
17,Malta,,362,252,291,416,504,575
18,Netherlands,,56000,65389,71390,75325,79128,83285
19,Austria,,21536,22169,22015,21301,20381,19354
20,Poland,,222996,266489,279654,260742,238003,218547
21,Portugal,,2053,1807,1869,2129,2455,2775
22,Romania,,37252,37187,36754,35763,34570,33431
23,Slovenia,,6036,6421,6820,7059,7355,7787
24,Slovakia,,6037,4619,4332,4591,5054,5533
25,Finland,,4465,4270,4035,3821,3624,3443
26,Sweden,,29952,31414,32113,32535,32740,33294
27,United Kingdom,,33709,34431,34658,34820,34744,34569
28,Iceland,,21,21,21,21,22,21
29,Liechtenstein,,27,22,22,22,22,22
30,Norway,,6661,6470,6304,6199,6089,5991
31,Switzerland,,10927,11946,12303,12119,11888,11894
