,Region,557,563,570,577,584,591,598
0,Belgium,,9386,10009,9978,9604,9150,8598
1,Bulgaria,,2286,3712,4004,2994,2474,2180
2,Czechia,,846,781,795,801,787,771
3,Denmark,,6404,6315,6187,5975,5718,5506
4,Germany,,9534,9426,9404,9356,9294,9148
5,Estonia,,1611,2348,2370,2011,1819,1668
6,Ireland,,9164,9712,10078,10374,10638,10898
7,Greece,,17688,17606,17418,17076,16541,16096
8,Spain,,142432,146338,146132,144646,143849,141857
9,France,,144329,153246,146268,136032,127372,121943
10,Croatia,,1242,1423,1498,1480,1488,1512
11,Italy,,39930,43608,39690,33930,30248,26972
12,Cyprus,,3721,2946,3020,3412,3625,3766
13,Latvia,,420,499,536,550,560,570
14,Lithuania,,2725,4376,5544,4996,3890,3340
15,Luxembourg,,271,230,214,213,222,230
16,Hungary,,288,298,317,342,363,393
17,Malta,,460,453,492,532,562,583
18,Netherlands,,13031,12957,15013,16803,18436,19863
19,Austria,,3442,3650,3743,3772,3822,3872
20,Poland,,894,1085,1252,1380,1482,1588
21,Portugal,,11421,13335,13556,13740,13776,13582
22,Romania,,1419,2059,2286,2042,1863,1711
23,Slovenia,,531,612,700,744,770,803
24,Slovakia,,241,273,303,319,326,326
25,Finland,,5754,7783,8990,8296,7358,6904
26,Sweden,,1978,2072,2134,2143,2132,2122
27,United Kingdom,,142526,136072,143672,149845,152802,156090
28,Iceland,,683,760,800,802,782,762
29,Liechtenstein,,10,10,10,10,10,10
30,Norway,,1851,2028,2180,2256,2282,2314
31,Switzerland,,4626,5432,5385,4686,4042,3624
