,Region,564,570,577,584,591,598,605
0,Belgium,,7066,7202,7394,7458,7460,7416
1,Bulgaria,,4612,7035,6628,5147,4539,4076
2,Czechia,,850,779,862,954,1044,1135
3,Denmark,,5803,6104,6335,6548,6711,6872
4,Germany,,22293,25810,26358,24906,22964,21372
5,Estonia,,1778,2366,2462,2224,2055,1927
6,Ireland,,11424,11564,11458,11141,10698,10326
7,Greece,,17908,18263,18900,19468,20038,20512
8,Spain,,115437,108394,103789,97928,93045,87948
9,France,,129602,127978,129909,129594,128644,128046
10,Croatia,,1222,1167,1139,1082,1034,990
11,Italy,,38626,40398,42521,44433,46750,48490
12,Cyprus,,2560,2056,1892,2081,2372,2534
13,Latvia,,539,620,666,689,700,719
14,Lithuania,,4158,5204,4756,4124,3664,3258
15,Luxembourg,,286,261,247,240,236,231
16,Hungary,,265,256,251,247,246,240
17,Malta,,322,254,251,285,326,362
18,Netherlands,,13419,10967,10850,11951,13216,14240
19,Austria,,3551,3756,3896,3899,3804,3711
20,Poland,,1129,1374,1586,1727,1828,1918
21,Portugal,,11983,10457,10068,10114,10290,10226
22,Romania,,2112,3158,3832,3462,3167,3010
23,Slovenia,,808,984,1110,1170,1198,1235
24,Slovakia,,248,306,314,306,295,286
25,Finland,,7365,8392,9131,8508,7576,6901
26,Sweden,,3193,3478,3524,3420,3320,3240
27,United Kingdom,,170269,168042,170964,170270,167023,161247
28,Iceland,,615,567,548,567,605,651
29,Liechtenstein,,13,11,11,11,11,11
30,Norway,,3998,5179,5339,4658,4259,3930
31,Switzerland,,6144,6870,6616,5792,5020,4310
