,Region,424,430,437,444,451,458,465
0,Belgium,,37911,40537,41584,39108,37394,36300
1,Bulgaria,,28928,35812,37987,35165,30525,26710
2,Czechia,,50939,44964,46369,48904,51721,53164
3,Denmark,,4986,5433,5765,5929,6033,6158
4,Germany,,93844,122901,132403,130580,124046,119454
5,Estonia,,10269,10438,10448,10380,10266,10092
6,Ireland,,3680,3529,3756,4001,4260,4526
7,Greece,,18209,18542,17951,16962,15887,14804
8,Spain,,24788,23588,23064,23138,23575,24223
9,France,,134010,173478,189902,200126,208011,217288
10,Croatia,,7780,10423,12055,11539,10244,9707
11,Italy,,138704,138094,137657,136347,134475,132605
12,Cyprus,,2268,2273,2310,2318,2337,2341
13,Latvia,,2620,2481,2536,2661,2798,2916
14,Lithuania,,2832,3028,3217,3405,3587,3736
15,Luxembourg,,1099,1161,1207,1255,1319,1396
16,Hungary,,57405,58738,59208,58251,56692,54602
17,Malta,,1558,1498,1457,1408,1363,1313
18,Netherlands,,45334,52170,59201,64900,70311,76044
19,Austria,,21533,23966,25192,25393,25016,24487
20,Poland,,166457,200509,217263,202357,182519,166438
21,Portugal,,2279,1848,1806,1996,2225,2456
22,Romania,,40567,46752,49239,48649,46714,44481
23,Slovenia,,5018,5365,5522,5486,5350,5252
24,Slovakia,,6786,5288,5120,5584,6165,6666
25,Finland,,4763,4766,4588,4348,4078,3867
26,Sweden,,26923,28001,27920,27542,27163,27202
27,United Kingdom,,34829,34920,36284,37535,38675,39577
28,Iceland,,12,12,12,12,12,12
29,Liechtenstein,,16,17,17,17,17,17
30,Norway,,8683,10685,10616,8899,7816,7094
31,Switzerland,,15778,19127,18888,16602,15513,14699
