,Region,417,423,430,437,444,451,458
0,Belgium,,22092,24059,24000,22556,20471,18294
1,Bulgaria,,22464,29358,33509,32680,29731,28500
2,Czechia,,52293,51177,52084,52498,52898,52483
3,Denmark,,4177,4515,4776,4932,4969,4938
4,Germany,,73381,80929,84722,84449,82839,80923
5,Estonia,,11602,13352,13125,12294,11512,10789
6,Ireland,,2701,2527,2632,2897,3192,3518
7,Greece,,16667,17332,16927,15953,14819,13867
8,Spain,,25483,23354,22109,21824,21938,21898
9,France,,148963,147606,149722,149572,146690,146085
10,Croatia,,4673,5184,5270,4911,4395,3935
11,Italy,,149865,150782,145486,135152,124439,114375
12,Cyprus,,3093,3397,3300,3164,3030,2900
13,Latvia,,2737,2370,2279,2330,2397,2458
14,Lithuania,,2243,2045,2068,2137,2184,2230
15,Luxembourg,,985,929,871,828,786,747
16,Hungary,,58278,67872,66789,59096,53394,49026
17,Malta,,2159,2357,2458,2434,2341,2237
18,Netherlands,,39479,41954,42445,40766,38015,35152
19,Austria,,18818,20117,20346,19626,18189,16986
20,Poland,,121552,138076,140558,127202,109449,93163
21,Portugal,,2826,2388,2601,3164,3815,4483
22,Romania,,33620,36494,36943,34926,31294,27866
23,Slovenia,,3708,3447,3584,3775,4020,4244
24,Slovakia,,11035,10215,9982,9791,9673,9414
25,Finland,,5432,5568,5612,5491,5297,5160
26,Sweden,,22621,22462,22077,21679,21184,20890
27,United Kingdom,,28319,24251,25617,30106,35762,41647
28,Iceland,,9,10,10,10,10,10
29,Liechtenstein,,19,12,14,18,21,24
30,Norway,,7469,10095,11219,9717,8269,7687
31,Switzerland,,7283,7756,8231,8713,9285,9904
