,Region,599,605,612,619,626,633,640
0,Belgium,,9966,9280,8695,8070,7439,6870
1,Bulgaria,,8136,7675,7409,7097,6751,6467
2,Czechia,,2501,3163,3568,3831,4070,4276
3,Denmark,,2540,2012,1860,1996,2168,2267
4,Germany,,51714,52011,55404,59864,65260,68353
5,Estonia,,2496,2577,2620,2564,2447,2300
6,Ireland,,7671,6751,6728,7038,7212,7224
7,Greece,,11170,9055,8498,8754,9254,9565
8,Spain,,19373,15082,13550,13602,14506,15132
9,France,,24158,12521,12567,16938,24572,31952
10,Croatia,,6618,7981,8638,8244,7446,6814
11,Italy,,27250,23350,21719,20877,20049,18941
12,Cyprus,,577,408,402,458,574,706
13,Latvia,,3221,4102,4534,4334,4050,3874
14,Lithuania,,5818,6624,7336,7881,8350,8836
15,Luxembourg,,422,432,431,431,425,421
16,Hungary,,1427,1680,1764,1731,1670,1610
17,Malta,,254,238,246,261,276,291
18,Netherlands,,11656,12750,12424,12133,11776,11246
19,Austria,,14500,16183,16341,15436,13948,12465
20,Poland,,3824,4970,5400,5352,5248,5206
21,Portugal,,5281,4214,4129,4636,5294,5758
22,Romania,,20414,31181,40166,38628,30062,26876
23,Slovenia,,6196,7800,8436,7861,7020,6100
24,Slovakia,,3394,4786,5113,4428,3976,3600
25,Finland,,3886,3406,3461,3540,3658,3758
26,Sweden,,5709,5665,5572,5440,5352,5274
27,United Kingdom,,219830,226590,226303,222591,215901,207860
28,Iceland,,128,89,82,98,120,141
29,Liechtenstein,,50,54,56,56,57,57
30,Norway,,7376,7465,7494,7525,7596,7599
31,Switzerland,,13464,14924,16196,17406,18303,18919
