,Region,606,612,619,626,633,640,647
0,Belgium,,9887,9836,9790,9696,9518,9348
1,Bulgaria,,8387,8470,8668,8808,8892,8970
2,Czechia,,2958,3660,4128,4350,4526,4681
3,Denmark,,1477,1094,1012,1198,1457,1627
4,Germany,,40824,42460,45254,48490,51549,54463
5,Estonia,,2774,2904,3137,3282,3378,3446
6,Ireland,,7386,7316,7937,8624,9517,10270
7,Greece,,14068,14760,15630,16449,17161,17772
8,Spain,,12800,10026,9312,9672,10586,11458
9,France,,16424,8386,9222,13028,18422,23096
10,Croatia,,8022,9602,10282,9748,8834,8076
11,Italy,,21506,16862,15156,15196,15810,15980
12,Cyprus,,0,0,0,0,0,0
13,Latvia,,3301,3494,3434,3378,3276,3206
14,Lithuania,,7774,9618,10666,10802,10578,10288
15,Luxembourg,,423,428,427,424,414,406
16,Hungary,,2404,3132,3564,3529,3342,3298
17,Malta,,161,147,143,147,153,158
18,Netherlands,,10980,10505,10852,11424,12062,12326
19,Austria,,12562,13027,13468,13899,14144,14348
20,Poland,,4941,6230,6680,6176,5214,4412
21,Portugal,,3932,2871,2614,2914,3528,3973
22,Romania,,37772,62727,87994,91221,69336,59388
23,Slovenia,,6347,7524,8324,8571,8596,8630
24,Slovakia,,5672,7849,8117,7120,6474,6024
25,Finland,,2162,2223,2054,1964,1952,1930
26,Sweden,,5042,4992,5008,5008,5074,5212
27,United Kingdom,,162422,142347,141069,144136,143364,140643
28,Iceland,,98,82,75,81,93,105
29,Liechtenstein,,46,50,50,50,49,50
30,Norway,,4070,3630,3856,4168,4436,4570
31,Switzerland,,12075,12220,12419,12570,12705,12912
