,County,404,409,416,423,430,437,444,451,458
0,01001,6270,63,41,27,17,10,6,4,2
1,01003,19758,313,249,191,142,105,76,54,38
2,01005,2116,24,18,14,10,7,5,4,2
3,01007,2450,15,9,5,3,2,1,0,0
4,01009,6102,57,43,31,22,16,11,8,5
5,01011,1169,7,4,3,1,1,0,0,0
6,01013,1968,38,32,25,18,13,9,6,4
7,01015,13300,282,221,162,113,77,51,33,21
8,01017,3413,38,29,21,15,11,7,5,3
9,01019,1770,6,4,3,2,1,1,0,0
10,01021,3876,47,34,24,17,11,8,5,3
11,01023,551,3,2,2,2,1,1,1,1
12,01025,3436,10,4,2,1,0,0,0,0
13,01027,1444,20,14,10,6,4,3,2,1
14,01029,1378,18,16,13,10,8,6,5,3
15,01031,5249,37,25,16,10,7,4,3,2
16,01033,6004,23,15,9,5,3,2,1,0
17,01035,1067,6,4,2,1,1,0,0,0
18,01037,889,5,2,0,0,0,0,0,0
19,01039,3960,48,32,21,13,8,5,3,2
20,01041,1448,18,12,8,5,3,2,1,0
21,01043,8897,18,10,5,3,1,1,0,0
22,01045,4642,60,44,32,22,15,10,7,5
23,01047,3403,222,276,211,111,47,18,7,2
24,01049,8459,27,16,9,5,3,1,1,0
25,01051,9385,99,66,43,28,17,11,7,4
26,01053,3776,20,12,7,4,2,1,0,0
27,01055,13184,60,35,20,11,6,3,2,1
28,01057,2007,39,31,23,16,11,7,4,3
29,01059,3991,4,2,0,0,0,0,0,0
30,01061,2399,20,15,11,7,5,4,2,2
31,01063,882,8,5,3,1,1,0,0,0
32,01065,2105,65,56,39,24,14,7,4,2
33,01067,1824,17,11,7,4,3,2,1,0
34,01069,10104,56,33,19,11,6,3,2,1
35,01071,6495,12,6,3,1,0,0,0,0
36,01073,71073,378,235,144,88,54,33,20,12
37,01075,1328,33,37,36,31,24,17,11,7
38,01077,8607,38,25,16,10,6,4,2,1
39,01079,2834,10,5,3,1,0,0,0,0
40,01081,14967,130,88,59,39,26,17,11,7
41,01083,9363,47,25,14,7,4,2,1,0
42,01085,1311,4,2,1,0,0,0,0,0
43,01087,1420,17,12,8,6,4,2,1,1
44,01089,32425,250,155,94,57,35,21,12,7
45,01091,2364,200,112,40,12,3,1,0,0
46,01093,2819,54,51,45,37,30,22,16,12
47,01095,11262,42,26,16,9,5,3,2,1
48,01097,36139,441,329,242,177,129,93,67,49
49,01099,1661,4,2,1,0,0,0,0,0
50,01101,22586,228,159,109,74,50,33,22,15
51,01103,13667,70,47,30,19,12,8,5,3
52,01105,1056,5,5,5,5,5,5,4,4
53,01107,2246,34,27,20,14,10,7,5,3
54,01109,2934,13,7,4,2,1,0,0,0
55,01111,1637,42,44,43,38,32,25,19,13
56,01113,4049,39,28,20,15,11,7,5,4
57,01115,8827,85,59,40,27,18,12,8,5
58,01117,21968,263,194,139,97,68,47,32,22
59,01119,985,7,4,3,2,1,1,0,0
60,01121,7523,100,74,54,38,27,19,13,9
61,01123,3588,302,323,206,93,36,13,4,1
62,01125,24184,265,194,139,98,68,47,32,22
63,01127,6524,86,71,56,43,33,24,17,13
64,01129,1565,15,11,7,5,3,2,1,1
65,01131,1218,4,2,1,0,0,0,0,0
66,01133,2468,12,9,7,5,3,2,2,1
67,02013,362,0,0,0,0,0,0,0,0
68,02016,572,127,78,36,14,5,2,0,0
69,02020,26733,355,348,336,318,298,274,251,226
70,02050,3565,16,7,3,2,1,0,0,0
71,02060,0,0,0,0,0,0,0,0,0
72,02068,74,0,1,1,2,3,4,4,5
73,02070,203,3,2,1,1,0,0,0,0
74,02090,6269,201,266,334,395,435,440,403,338
75,02100,28,0,0,0,0,0,0,0,0
76,02105,0,0,0,0,0,1,1,1,2
77,02110,1250,36,50,68,89,110,129,140,139
78,02122,4019,26,26,26,25,24,23,22,21
79,02130,363,155,276,281,165,66,22,7,2
80,02150,1062,0,0,0,0,0,0,0,0
81,02158,1204,5,2,1,0,0,0,0,0
82,02164,177,0,0,0,0,0,0,0,0
83,02170,8704,544,603,607,555,464,359,260,182
84,02180,327,0,0,0,0,0,0,0,0
85,02185,1013,4,3,3,3,2,2,2,1
86,02188,588,32,72,120,122,79,37,14,5
87,02195,112,118,109,17,1,0,0,0,0
88,02198,77,0,0,0,1,1,2,2,3
89,02220,316,48,166,255,136,31,6,1,0
90,02230,20,70,18,0,0,0,0,0,0
91,02240,461,0,0,0,0,0,0,0,0
92,02261,458,0,1,1,2,3,4,4,5
93,02275,31,186,5,0,0,0,0,0,0
94,02282,68,30,3,0,0,0,0,0,0
95,02290,335,50,83,89,60,29,12,4,1
96,04001,10464,120,86,61,42,29,20,13,9
97,04003,11229,329,364,378,366,334,286,233,180
98,04005,16579,202,151,111,82,59,43,31,23
99,04007,6405,41,26,16,10,6,4,2,1
100,04009,5293,34,25,18,14,10,7,5,4
101,04011,559,10,10,10,9,9,8,8,7
102,04012,2399,13,8,5,3,2,1,1,1
103,04013,511055,4424,3012,2030,1359,907,606,407,272
104,04015,21218,282,213,156,113,81,58,41,29
105,04017,15647,171,118,80,54,36,24,16,10
106,04019,109601,1043,737,513,354,244,167,114,79
107,04021,46233,775,660,551,452,365,292,230,181
108,04023,7632,17,9,5,3,2,1,0,0
109,04025,17062,297,330,351,358,350,329,297,258
110,04027,36445,120,67,37,20,11,6,3,2
111,05001,1993,6,2,1,0,0,0,0,0
112,05003,1826,5,2,1,0,0,0,0,0
113,05005,2891,13,8,5,3,2,1,0,0
114,05007,27257,176,111,70,44,28,17,11,7
115,05009,3641,12,6,3,1,0,0,0,0
116,05011,1321,0,0,0,0,0,0,0,0
117,05013,398,0,0,0,0,0,0,0,0
118,05015,2713,2,1,0,0,0,0,0,0
119,05017,1586,0,0,0,0,0,0,0,0
120,05019,2036,9,4,2,1,0,0,0,0
121,05021,1693,3,1,0,0,0,0,0,0
122,05023,1885,1,0,0,0,0,0,0,0
123,05025,922,0,0,0,0,0,0,0,0
124,05027,2259,8,4,2,1,0,0,0,0
125,05029,2150,2,0,0,0,0,0,0,0
126,05031,12847,22,10,4,2,0,0,0,0
127,05033,6782,16,7,3,1,0,0,0,0
128,05035,5755,5,2,0,0,0,0,0,0
129,05037,1891,7,5,3,2,1,0,0,0
130,05039,738,0,0,0,0,0,0,0,0
131,05041,1334,3,1,0,0,0,0,0,0
132,05043,1946,0,0,0,0,0,0,0,0
133,05045,11781,45,23,11,5,3,1,0,0
134,05047,1632,21,16,12,9,7,5,4,3
135,05049,1080,3,2,1,1,0,0,0,0
136,05051,9730,90,51,29,16,9,5,2,1
137,05053,1582,2,0,0,0,0,0,0,0
138,05055,5895,5,1,0,0,0,0,0,0
139,05057,1924,10,6,3,1,1,0,0,0
140,05059,4856,6,2,0,0,0,0,0,0
141,05061,1590,4,2,0,0,0,0,0,0
142,05063,3668,11,6,3,1,0,0,0,0
143,05065,1635,0,0,0,0,0,0,0,0
144,05067,3175,2,0,0,0,0,0,0,0
145,05069,8606,23,10,5,2,1,0,0,0
146,05071,2758,39,30,23,17,12,9,7,5
147,05073,535,0,0,0,0,0,0,0,0
148,05075,2047,2,1,0,0,0,0,0,0
149,05077,1639,1,0,0,0,0,0,0,0
150,05079,3152,1,0,0,0,0,0,0,0
151,05081,1174,1,0,0,0,0,0,0,0
152,05083,2166,9,4,2,1,0,0,0,0
153,05085,6811,26,11,5,2,1,0,0,0
154,05087,1403,2,1,0,0,0,0,0,0
155,05089,961,3,1,1,0,0,0,0,0
156,05091,4027,16,7,3,1,0,0,0,0
157,05093,5673,4,1,0,0,0,0,0,0
158,05095,828,3,1,0,0,0,0,0,0
159,05097,729,3,1,0,0,0,0,0,0
160,05099,792,3,1,0,0,0,0,0,0
161,05101,691,21,26,30,32,31,28,23,17
162,05103,2219,3,1,0,0,0,0,0,0
163,05105,801,4,2,0,0,0,0,0,0
164,05107,1701,2,1,0,0,0,0,0,0
165,05109,975,18,15,12,10,8,6,5,4
166,05111,3078,1,0,0,0,0,0,0,0
167,05113,1894,5,2,0,0,0,0,0,0
168,05115,7738,50,30,18,11,6,4,2,1
169,05117,873,0,0,0,0,0,0,0,0
170,05119,37413,63,24,9,3,1,0,0,0
171,05121,2009,10,7,5,3,2,1,1,1
172,05123,3444,3,1,0,0,0,0,0,0
173,05125,11430,23,9,3,1,0,0,0,0
174,05127,918,3,2,1,0,0,0,0,0
175,05129,662,12,14,16,18,18,19,18,16
176,05131,14588,80,46,26,15,8,5,3,1
177,05133,2709,16,8,4,2,1,0,0,0
178,05135,1519,0,0,0,0,0,0,0,0
179,05137,964,0,0,0,0,0,0,0,0
180,05139,3727,7,2,1,0,0,0,0,0
181,05141,1196,3,2,1,0,0,0,0,0
182,05143,29397,177,113,73,47,30,19,12,8
183,05145,7578,24,12,5,2,1,0,0,0
184,05147,623,4,2,1,1,0,0,0,0
185,05149,3359,6,2,0,0,0,0,0,0
186,06001,80777,747,543,392,282,203,146,105,76
187,06003,82,0,0,0,0,0,0,0,0
188,06005,3466,22,14,8,5,3,2,1,1
189,06007,10970,116,92,72,56,44,34,27,21
190,06009,1910,28,23,20,16,13,11,9,7
191,06011,2136,31,23,17,12,9,6,4,3
192,06013,62720,1010,893,782,683,592,510,437,376
193,06015,1003,72,99,127,146,150,134,106,77
194,06017,9160,134,115,98,83,70,59,49,41
195,06019,95548,1110,836,624,458,335,245,177,128
196,06021,2230,10,5,3,2,1,0,0,0
197,06023,3210,99,106,112,118,121,123,123,121
198,06025,26909,88,55,34,21,13,8,5,3
199,06027,1313,76,75,67,55,42,31,22,15
200,06029,103422,793,472,282,169,102,62,38,24
201,06031,22082,175,120,82,56,38,26,17,12
202,06033,3164,65,56,48,41,34,28,23,19
203,06035,5624,22,16,12,8,6,4,3,2
204,06037,1192954,9628,6637,4541,3080,2080,1406,950,638
205,06039,15496,194,162,134,109,88,70,55,44
206,06041,13231,165,144,125,107,91,77,65,55
207,06043,395,0,0,0,0,0,0,0,0
208,06045,3816,40,27,18,12,8,6,4,3
209,06047,29147,353,299,249,206,170,139,112,90
210,06049,456,2,1,0,0,0,0,0,0
211,06051,1214,2,1,1,0,0,0,0,0
212,06053,42261,330,228,156,106,72,49,33,23
213,06055,9053,68,48,34,24,17,12,8,6
214,06057,3972,218,266,306,330,328,303,259,207
215,06059,261408,1412,888,555,345,214,134,84,52
216,06061,19861,296,270,245,218,194,171,150,130
217,06063,653,1,0,0,0,0,0,0,0
218,06065,289773,878,464,244,129,68,37,20,11
219,06067,93528,1543,1361,1189,1022,872,738,622,519
220,06069,5772,58,44,33,25,18,14,10,7
221,06071,286755,2923,2613,2306,2004,1721,1458,1225,1023
222,06073,260625,3833,3073,2444,1921,1495,1166,904,700
223,06075,34291,403,317,247,193,150,117,91,71
224,06077,66829,895,770,654,547,454,373,305,248
225,06079,19696,410,367,322,277,235,197,163,134
226,06081,39059,514,420,341,275,220,175,140,111
227,06083,32050,498,380,287,216,162,121,90,67
228,06085,110755,1341,1071,845,664,518,403,313,244
229,06087,14671,149,112,84,63,47,35,26,19
230,06089,11017,148,189,237,289,341,386,418,430
231,06091,100,4,7,10,12,14,14,12,9
232,06093,1760,36,31,27,23,20,17,15,13
233,06095,30115,418,360,307,259,217,181,150,124
234,06097,28193,496,482,459,434,403,370,335,299
235,06099,56235,769,565,412,297,214,154,110,79
236,06101,8880,102,85,71,59,48,39,31,25
237,06103,5086,45,35,27,21,16,13,10,8
238,06105,370,25,43,65,85,90,76,56,37
239,06107,48013,659,553,457,370,298,235,185,144
240,06109,3960,68,54,42,32,24,18,14,10
241,06111,77749,714,459,293,186,118,75,48,30
242,06113,12851,291,281,265,247,224,202,179,157
243,06115,5773,90,79,68,58,49,41,34,28
244,08001,48560,716,687,655,618,580,538,491,449
245,08003,1286,24,21,19,16,14,12,11,9
246,08005,48640,718,629,550,479,413,355,305,262
247,08007,650,2,1,1,1,0,0,0,0
248,08009,272,0,0,0,0,0,0,0,0
249,08011,1479,144,85,35,12,4,1,0,0
250,08013,18888,387,358,330,301,272,244,220,197
251,08014,3759,58,52,47,42,37,33,29,26
252,08015,1454,39,38,36,34,31,28,26,23
253,08017,125,0,0,0,0,0,0,0,0
254,08019,363,2,1,1,1,0,0,0,0
255,08021,442,8,7,6,6,5,5,4,4
256,08023,187,4,4,4,3,3,2,2,2
257,08025,2048,95,72,46,26,14,7,3,1
258,08027,164,0,0,0,0,0,0,0,0
259,08029,2473,12,8,5,3,2,1,1,0
260,08031,59779,694,577,481,396,326,268,220,181
261,08033,68,8,16,28,39,39,28,18,9
262,08035,21402,508,455,405,358,313,272,236,204
263,08037,5088,187,179,167,152,134,117,100,84
264,08039,1288,23,20,17,15,13,11,10,8
265,08041,52145,1170,1140,1100,1043,978,908,838,768
266,08043,5473,156,174,185,187,181,168,150,129
267,08045,5110,52,46,40,35,30,26,23,20
268,08047,168,1,1,0,0,0,0,0,0
269,08049,1272,51,38,28,20,15,11,8,6
270,08051,1203,10,6,3,1,1,0,0,0
271,08053,17,0,0,0,0,0,0,0,0
272,08055,310,0,0,0,0,0,0,0,0
273,08057,51,2,3,4,4,5,5,5,5
274,08059,37323,494,424,363,308,261,221,187,157
275,08061,91,0,0,0,0,0,0,0,0
276,08063,536,4,3,2,1,1,1,0,0
277,08065,659,18,13,10,7,5,3,2,2
278,08067,2980,27,19,14,10,7,5,4,3
279,08069,20153,805,941,1072,1185,1270,1316,1314,1265
280,08071,997,18,15,13,10,9,7,6,5
281,08073,998,39,42,40,35,28,21,15,10
282,08075,3740,7,4,2,1,1,0,0,0
283,08077,13355,100,62,38,24,15,9,5,3
284,08079,61,0,0,0,0,0,0,0,0
285,08081,672,4,3,2,1,1,1,0,0
286,08083,1731,12,10,8,7,5,4,4,3
287,08085,3250,26,18,12,8,6,4,3,2
288,08087,2434,6,4,3,2,2,1,1,1
289,08089,1865,67,100,138,169,183,170,136,99
290,08091,258,6,5,3,2,2,1,1,0
291,08093,551,8,6,5,4,3,2,2,1
292,08095,337,10,18,29,42,53,53,43,32
293,08097,2018,31,26,21,17,14,11,9,7
294,08099,1160,0,0,0,0,0,0,0,0
295,08101,15046,68,43,28,18,12,8,5,4
296,08103,473,28,31,32,31,29,26,22,18
297,08105,702,20,19,18,17,16,14,13,12
298,08107,1890,23,15,10,6,4,3,2,1
299,08109,320,13,15,17,19,21,21,21,21
300,08111,42,66,21,0,0,0,0,0,0
301,08113,821,2,0,0,0,0,0,0,0
302,08115,191,0,0,0,0,0,0,0,0
303,08117,3036,45,30,20,13,9,6,4,2
304,08119,1275,35,40,45,49,53,55,56,55
305,08121,387,131,242,131,28,5,1,0,0
306,08123,25562,398,357,319,284,250,220,193,169
