,Region,719,724,731,738,745
0,Belgium,,124382,145339,160705,162584
1,Bulgaria,,35539,45974,57224,66240
2,Czechia,,31028,27789,24616,21323
3,Denmark,,179614,208960,233012,244058
4,Germany,,271725,284991,283614,273460
5,Estonia,,9838,11814,13544,14385
6,Ireland,,204977,266156,321337,358541
7,Greece,,442030,677330,932237,1137230
8,Spain,,1243258,1709960,2238780,2800447
9,France,,2451244,3314648,4111372,4584521
10,Croatia,,37924,43352,47431,49741
11,Italy,,1689578,2631084,3774986,4882993
12,Cyprus,,54466,82051,109731,127803
13,Latvia,,8753,10169,11299,12166
14,Lithuania,,18405,20461,21574,20651
15,Luxembourg,,11824,15782,19795,22766
16,Hungary,,20972,20169,18307,16111
17,Malta,,13955,19794,27149,35406
18,Netherlands,,335681,468622,502032,399013
19,Austria,,41071,46294,50100,52692
20,Poland,,68887,63438,56005,48544
21,Portugal,,313894,465355,631847,787108
22,Romania,,34525,52040,75466,101015
23,Slovenia,,19814,23763,26793,28092
24,Slovakia,,17346,15001,13717,11964
25,Finland,,68690,93661,123009,150974
26,Sweden,,134916,188937,245691,286364
27,United Kingdom,,1638493,1974242,2330381,2678841
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,384,405,421,430
30,Norway,,38860,40870,40861,37854
31,Switzerland,,188091,227591,254870,257918
