,Region,677,682,689,696,703
0,Belgium,,162684,202895,242849,278293
1,Bulgaria,,13898,12208,10420,8681
2,Czechia,,170096,213832,260132,300356
3,Denmark,,34899,42800,54599,72559
4,Germany,,560118,709958,889145,1077730
5,Estonia,,3506,2825,2234,1753
6,Ireland,,34270,36966,39798,42551
7,Greece,,48923,50858,51332,51738
8,Spain,,78664,109615,144224,177344
9,France,,278151,402730,563805,753529
10,Croatia,,34190,34515,34086,32860
11,Italy,,102436,127848,153557,179389
12,Cyprus,,3413,4181,5155,6365
13,Latvia,,4628,3871,3342,2742
14,Lithuania,,10961,9804,8578,7247
15,Luxembourg,,2715,3280,3826,4326
16,Hungary,,92187,112783,133675,155527
17,Malta,,736,970,1277,1709
18,Netherlands,,206412,270443,368808,520418
19,Austria,,117576,142083,177201,228775
20,Poland,,213286,266456,322608,377291
21,Portugal,,27359,37301,49326,63447
22,Romania,,11707,8759,6542,4796
23,Slovenia,,19949,19725,19465,19687
24,Slovakia,,91234,101596,108213,110814
25,Finland,,9379,10879,12175,13246
26,Sweden,,13553,17056,20063,21429
27,United Kingdom,,346553,366402,368952,357769
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,620,903,1249,1653
30,Norway,,22567,27737,33440,39232
31,Switzerland,,68210,92107,119078,144933
