,Region,663,668,675,682,689
0,Belgium,,96541,122543,149250,176800
1,Bulgaria,,27035,27019,26967,26808
2,Czechia,,95616,127802,163880,202876
3,Denmark,,26343,33332,39789,45377
4,Germany,,373011,504314,657666,824558
5,Estonia,,7780,6936,6266,5771
6,Ireland,,36084,44943,54674,65012
7,Greece,,65949,85742,111639,145638
8,Spain,,29703,37740,45353,51376
9,France,,75163,92386,111595,135465
10,Croatia,,50844,64231,78124,90594
11,Italy,,65694,84171,100018,111327
12,Cyprus,,2133,2605,3140,3692
13,Latvia,,8333,6950,5916,5013
14,Lithuania,,17577,16874,15851,14416
15,Luxembourg,,1870,2292,2782,3310
16,Hungary,,75504,111060,158284,218047
17,Malta,,487,729,1091,1623
18,Netherlands,,133479,169910,194736,202864
19,Austria,,104968,146154,195529,251618
20,Poland,,148281,207183,289909,402146
21,Portugal,,11820,14959,18334,21790
22,Romania,,33953,27178,21757,17697
23,Slovenia,,28517,33766,38065,41986
24,Slovakia,,52913,65031,78020,89958
25,Finland,,6924,8199,9614,11209
26,Sweden,,5781,5920,5921,5727
27,United Kingdom,,252965,238912,206618,165242
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,219,353,555,877
30,Norway,,16127,21329,27568,35384
31,Switzerland,,33224,45951,60017,75333
