,Region,747,752,759
0,Belgium,,166146,135808
1,Bulgaria,,44065,34798
2,Czechia,,215453,151304
3,Denmark,,380799,461025
4,Germany,,1501551,1597424
5,Estonia,,59061,71589
6,Ireland,,78488,119995
7,Greece,,131982,130107
8,Spain,,184903,72316
9,France,,1382037,1175897
10,Croatia,,41524,37787
11,Italy,,468395,308592
12,Cyprus,,19332,15453
13,Latvia,,79441,107872
14,Lithuania,,88713,98597
15,Luxembourg,,10910,10089
16,Hungary,,94634,74503
17,Malta,,1158,1008
18,Netherlands,,649479,714330
19,Austria,,193567,152479
20,Poland,,275828,224452
21,Portugal,,272768,300452
22,Romania,,219810,200231
23,Slovenia,,91043,75260
24,Slovakia,,194036,250790
25,Finland,,41221,44261
26,Sweden,,191590,152912
27,United Kingdom,,1620904,1745564
28,Iceland,,9583,9248
29,Liechtenstein,,743,747
30,Norway,,115493,106959
31,Switzerland,,232114,240010
