,Region,670,675,682,689,696
0,Belgium,,99701,97533,87509,73464
1,Bulgaria,,12514,8694,5911,4153
2,Czechia,,108441,121355,123581,126202
3,Denmark,,26755,24234,20199,16683
4,Germany,,369213,406812,407602,374146
5,Estonia,,3654,2419,1858,1508
6,Ireland,,30381,30750,30996,30975
7,Greece,,40102,37292,37021,36831
8,Spain,,45037,54271,60193,61820
9,France,,135707,147811,151081,142208
10,Croatia,,24451,18302,13042,9248
11,Italy,,69375,71685,75591,76111
12,Cyprus,,3673,3798,3866,3601
13,Latvia,,4704,3603,2610,1774
14,Lithuania,,8642,5763,3746,2423
15,Luxembourg,,1810,1849,1851,1842
16,Hungary,,72122,83225,94208,103797
17,Malta,,453,466,462,463
18,Netherlands,,153127,144312,120269,92178
19,Austria,,110065,116980,115711,107785
20,Poland,,159851,179356,192405,205791
21,Portugal,,17942,22313,25281,26786
22,Romania,,10189,3865,952,74
23,Slovenia,,22045,20767,18933,17001
24,Slovakia,,77852,90843,104302,119297
25,Finland,,5129,5414,5027,5487
26,Sweden,,6414,6743,7064,7197
27,United Kingdom,,299861,309456,314955,318647
28,Iceland,,1071,1048,1041,1025
29,Liechtenstein,,338,324,273,221
30,Norway,,15821,16497,16413,16353
31,Switzerland,,36784,37070,34227,29999
