,Region,733,738,745
0,Belgium,,332711,315805
1,Bulgaria,,77062,92278
2,Czechia,,243674,358775
3,Denmark,,273694,324935
4,Germany,,945755,1020859
5,Estonia,,33346,46830
6,Ireland,,4435,0
7,Greece,,145124,140039
8,Spain,,721271,503881
9,France,,2867672,3332256
10,Croatia,,58903,56351
11,Italy,,1053430,828733
12,Cyprus,,12505,14491
13,Latvia,,46809,64435
14,Lithuania,,47261,57131
15,Luxembourg,,17118,20007
16,Hungary,,97032,115026
17,Malta,,1552,1310
18,Netherlands,,305166,295084
19,Austria,,182348,174101
20,Poland,,310460,427041
21,Portugal,,420123,512443
22,Romania,,168740,211985
23,Slovenia,,80548,90696
24,Slovakia,,71264,92495
25,Finland,,15671,15656
26,Sweden,,273830,323771
27,United Kingdom,,605043,627708
28,Iceland,,12182,13131
29,Liechtenstein,,730,733
30,Norway,,145960,179073
31,Switzerland,,240260,271228
