,Region,789,794,801,808,815
0,Belgium,,78483,85762,89108,89900
1,Bulgaria,,12421,14413,16899,19527
2,Czechia,,54991,55682,56525,57045
3,Denmark,,32444,19735,9142,4580
4,Germany,,1637359,1713834,1650948,1643717
5,Estonia,,9565,10755,10838,10872
6,Ireland,,23546,23240,23380,23345
7,Greece,,166887,167974,167453,167411
8,Spain,,125072,92186,122448,99673
9,France,,682116,745277,784567,808368
10,Croatia,,12934,15263,15292,15422
11,Italy,,589812,655641,678368,681574
12,Cyprus,,23955,24351,24634,24600
13,Latvia,,42853,43232,42066,41122
14,Lithuania,,29876,29673,29427,29245
15,Luxembourg,,7897,7853,7831,7819
16,Hungary,,6075,5915,5878,6332
17,Malta,,1867,1815,1671,1481
18,Netherlands,,479015,452239,440672,428931
19,Austria,,397475,410035,442941,449677
20,Poland,,83026,95610,93862,87435
21,Portugal,,85506,95668,101204,102088
22,Romania,,21227,20195,19628,19258
23,Slovenia,,14092,14015,13972,13906
24,Slovakia,,72860,72563,73038,72572
25,Finland,,54417,57103,59874,62586
26,Sweden,,5478,3689,2589,2253
27,United Kingdom,,655918,707588,739279,753294
28,Iceland,,18034,18628,19376,20300
29,Liechtenstein,,1237,1233,1235,1235
30,Norway,,20927,21438,21527,21625
31,Switzerland,,212608,207141,202471,195432
