,Region,726,731,738
0,Belgium,,196642,195321
1,Bulgaria,,40459,40715
2,Czechia,,87546,113759
3,Denmark,,177656,203926
4,Germany,,599308,696500
5,Estonia,,17874,22246
6,Ireland,,119555,116581
7,Greece,,82527,76031
8,Spain,,825714,621134
9,France,,2289929,2399758
10,Croatia,,67161,73417
11,Italy,,1402933,1422244
12,Cyprus,,17930,17530
13,Latvia,,18439,22306
14,Lithuania,,29600,33567
15,Luxembourg,,12410,12446
16,Hungary,,55916,62561
17,Malta,,2484,2062
18,Netherlands,,263099,258358
19,Austria,,163846,219463
20,Poland,,104744,108114
21,Portugal,,251519,239697
22,Romania,,78590,92475
23,Slovenia,,57760,69732
24,Slovakia,,22508,25439
25,Finland,,88810,115433
26,Sweden,,176222,202706
27,United Kingdom,,478085,307989
28,Iceland,,7085,7374
29,Liechtenstein,,576,578
30,Norway,,64330,60254
31,Switzerland,,211987,241467
