,Region,740,745,752
0,Belgium,,338895,323211
1,Bulgaria,,59088,53515
2,Czechia,,340285,399369
3,Denmark,,388346,461663
4,Germany,,1230348,1353639
5,Estonia,,60015,87283
6,Ireland,,29538,65891
7,Greece,,103868,114308
8,Spain,,647829,465456
9,France,,2318196,2350998
10,Croatia,,57059,52900
11,Italy,,792040,598301
12,Cyprus,,16564,16129
13,Latvia,,74610,106996
14,Lithuania,,89501,117762
15,Luxembourg,,17562,19545
16,Hungary,,133231,141403
17,Malta,,1642,1573
18,Netherlands,,524757,598654
19,Austria,,251950,238103
20,Poland,,454859,552471
21,Portugal,,449649,527440
22,Romania,,218760,245250
23,Slovenia,,144020,197536
24,Slovakia,,159866,245939
25,Finland,,15164,7919
26,Sweden,,342728,394549
27,United Kingdom,,651317,681027
28,Iceland,,8634,9116
29,Liechtenstein,,1034,1037
30,Norway,,167207,187438
31,Switzerland,,287925,326077
