,Region,719,724,731
0,Belgium,,145337,145172
1,Bulgaria,,48223,58379
2,Czechia,,40094,43991
3,Denmark,,145875,167473
4,Germany,,435961,556300
5,Estonia,,11823,14651
6,Ireland,,178139,207947
7,Greece,,232330,227103
8,Spain,,1055255,1096685
9,France,,1907867,2111427
10,Croatia,,48884,58572
11,Italy,,1348432,1604589
12,Cyprus,,39614,43457
13,Latvia,,11652,12818
14,Lithuania,,24798,30213
15,Luxembourg,,10440,11084
16,Hungary,,30621,32839
17,Malta,,10515,7973
18,Netherlands,,222356,264191
19,Austria,,78699,100817
20,Poland,,83040,81223
21,Portugal,,37998,33204
22,Romania,,47234,65916
23,Slovenia,,30887,37427
24,Slovakia,,13968,13100
25,Finland,,64588,86323
26,Sweden,,138908,176683
27,United Kingdom,,1332063,1403544
28,Iceland,,15099,22280
29,Liechtenstein,,494,491
30,Norway,,62186,56669
31,Switzerland,,175344,189176
