,Region,467,472,479
0,Belgium,,20214,20640
1,Bulgaria,,8033,6221
2,Czechia,,13229,10462
3,Denmark,,7192,7793
4,Germany,,111467,102002
5,Estonia,,2151,1977
6,Ireland,,3724,3664
7,Greece,,10446,9787
8,Spain,,51532,49617
9,France,,123738,110853
10,Croatia,,10513,8873
11,Italy,,64636,53299
12,Cyprus,,4171,4351
13,Latvia,,4577,4854
14,Lithuania,,9337,10215
15,Luxembourg,,1228,1299
16,Hungary,,10541,9868
17,Malta,,112,119
18,Netherlands,,35794,28843
19,Austria,,11660,10376
20,Poland,,29935,18171
21,Portugal,,2450,2069
22,Romania,,8101,4828
23,Slovenia,,5035,4878
24,Slovakia,,2729,2156
25,Finland,,1120,995
26,Sweden,,36187,37363
27,United Kingdom,,12924,11667
28,Iceland,,53,51
29,Liechtenstein,,51,51
30,Norway,,2424,2450
31,Switzerland,,13470,13426
