,Region,621,626,633,640,647
0,Belgium,,13880,14029,14062,14139
1,Bulgaria,,13650,14307,14782,15220
2,Czechia,,5615,6813,7923,9180
3,Denmark,,2942,3124,3109,3102
4,Germany,,59941,63158,64805,65625
5,Estonia,,5722,6918,8072,9251
6,Ireland,,7767,7574,7513,7468
7,Greece,,15525,16044,16223,16110
8,Spain,,14140,14380,15037,15718
9,France,,27597,27260,24341,21884
10,Croatia,,9482,10061,10486,10741
11,Italy,,20998,19497,17231,15672
12,Cyprus,,41,9,0,0
13,Latvia,,8465,10571,13050,15750
14,Lithuania,,13720,15613,17218,18669
15,Luxembourg,,595,621,629,645
16,Hungary,,3239,3421,3598,3682
17,Malta,,109,120,122,121
18,Netherlands,,11261,11133,11108,10892
19,Austria,,16530,17929,19702,20970
20,Poland,,10326,13372,16803,20484
21,Portugal,,3439,2843,2276,1911
22,Romania,,91693,121225,154055,190715
23,Slovenia,,6685,7027,7328,7643
24,Slovakia,,12963,16884,21763,27230
25,Finland,,2210,2504,2419,2435
26,Sweden,,4823,4991,5137,5246
27,United Kingdom,,216827,214947,210241,208382
28,Iceland,,98,73,58,46
29,Liechtenstein,,7,8,8,9
30,Norway,,2997,2942,2863,2909
31,Switzerland,,8084,8022,8207,8504
