,Region,649,654,661,668,675
0,Belgium,,51389,47059,39565,32507
1,Bulgaria,,33966,32446,28807,24268
2,Czechia,,41074,49425,55167,59271
3,Denmark,,11982,11065,9661,8244
4,Germany,,145453,160243,166804,160735
5,Estonia,,14120,16699,18313,19648
6,Ireland,,15485,15246,15204,15201
7,Greece,,26861,26204,26035,26081
8,Spain,,16209,21259,29310,38198
9,France,,44140,53032,63040,70782
10,Croatia,,28596,30518,29438,26479
11,Italy,,39213,52565,64244,68035
12,Cyprus,,1025,1013,1023,1027
13,Latvia,,17682,17823,17253,16020
14,Lithuania,,20423,19311,17391,15089
15,Luxembourg,,1145,1167,1163,1161
16,Hungary,,27536,34562,40161,44232
17,Malta,,97,99,99,102
18,Netherlands,,58563,62866,64151,64031
19,Austria,,38443,43561,48071,48224
20,Poland,,69001,88278,110571,116122
21,Portugal,,5235,5831,6376,6665
22,Romania,,70962,50964,33418,21103
23,Slovenia,,19081,20756,20951,20180
24,Slovakia,,40407,45391,55740,59854
25,Finland,,4065,4464,4319,4499
26,Sweden,,5550,7005,9057,11827
27,United Kingdom,,265377,252354,247263,246924
28,Iceland,,521,531,517,520
29,Liechtenstein,,27,30,29,30
30,Norway,,8650,9445,9323,9223
31,Switzerland,,11299,12360,12643,12964
