,Region,593,598,605,612,619
0,Belgium,,32,32,32,33
1,Bulgaria,,488,593,656,696
2,Czechia,,7,7,6,6
3,Denmark,,11,11,11,12
4,Germany,,261,294,332,369
5,Estonia,,10,12,14,16
6,Ireland,,19,19,20,20
7,Greece,,253,261,265,267
8,Spain,,845,848,882,891
9,France,,409,330,272,226
10,Croatia,,47,48,47,48
11,Italy,,444,485,521,551
12,Cyprus,,18,17,18,18
13,Latvia,,8,9,8,8
14,Lithuania,,85,98,109,118
15,Luxembourg,,0,0,0,0
16,Hungary,,6,6,6,6
17,Malta,,2,2,2,2
18,Netherlands,,43,45,47,47
19,Austria,,37,44,51,57
20,Poland,,62,85,110,143
21,Portugal,,71,64,59,58
22,Romania,,218,257,278,294
23,Slovenia,,8,9,10,10
24,Slovakia,,2,2,2,1
25,Finland,,11,11,11,11
26,Sweden,,6,8,9,10
27,United Kingdom,,1085,1211,1374,1524
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,4,4,4,5
31,Switzerland,,26,21,19,19
