,Region,677,682,689,696,703
0,Belgium,,310,343,366,384
1,Bulgaria,,674,518,388,271
2,Czechia,,828,915,969,1012
3,Denmark,,64,72,82,86
4,Germany,,2181,2411,2659,2830
5,Estonia,,55,54,54,52
6,Ireland,,40,34,34,33
7,Greece,,662,644,595,527
8,Spain,,166,154,168,172
9,France,,459,554,593,607
10,Croatia,,450,433,395,349
11,Italy,,580,683,788,905
12,Cyprus,,1,2,3,3
13,Latvia,,174,170,165,165
14,Lithuania,,155,133,110,88
15,Luxembourg,,4,4,4,4
16,Hungary,,1321,1485,1563,1570
17,Malta,,5,5,5,5
18,Netherlands,,360,373,385,388
19,Austria,,436,496,530,537
20,Poland,,2806,3237,3444,3505
21,Portugal,,115,131,143,152
22,Romania,,1011,772,736,691
23,Slovenia,,127,132,135,140
24,Slovakia,,463,530,589,650
25,Finland,,45,47,43,42
26,Sweden,,32,30,29,29
27,United Kingdom,,680,561,534,504
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,49,43,38,32
31,Switzerland,,95,117,123,133
