,Region,740,745,752,759,766
0,Belgium,,185,189,190,189
1,Bulgaria,,418,377,323,308
2,Czechia,,116,88,74,76
3,Denmark,,113,108,98,86
4,Germany,,863,652,566,498
5,Estonia,,25,26,24,26
6,Ireland,,38,32,31,31
7,Greece,,785,812,819,808
8,Spain,,1431,1482,1524,1520
9,France,,1992,2083,2245,2305
10,Croatia,,429,489,506,495
11,Italy,,2950,3010,2858,2605
12,Cyprus,,24,23,24,23
13,Latvia,,65,67,65,66
14,Lithuania,,85,75,67,59
15,Luxembourg,,6,7,6,5
16,Hungary,,411,384,358,334
17,Malta,,19,20,20,20
18,Netherlands,,59,58,60,60
19,Austria,,105,129,159,184
20,Poland,,799,620,393,309
21,Portugal,,349,379,431,452
22,Romania,,461,545,624,705
23,Slovenia,,107,118,125,131
24,Slovakia,,181,147,120,94
25,Finland,,45,44,45,44
26,Sweden,,177,174,176,181
27,United Kingdom,,1733,1704,1633,1644
28,Iceland,,2,2,2,2
29,Liechtenstein,,0,0,0,0
30,Norway,,26,27,27,27
31,Switzerland,,86,80,75,72
