,Region,467,472,479
0,Belgium,,251,247
1,Bulgaria,,547,521
2,Czechia,,328,262
3,Denmark,,17,17
4,Germany,,1685,1714
5,Estonia,,40,40
6,Ireland,,31,26
7,Greece,,476,470
8,Spain,,722,662
9,France,,2064,2157
10,Croatia,,319,319
11,Italy,,1636,1379
12,Cyprus,,12,12
13,Latvia,,42,42
14,Lithuania,,104,110
15,Luxembourg,,9,9
16,Hungary,,1150,1084
17,Malta,,2,2
18,Netherlands,,124,113
19,Austria,,168,162
20,Poland,,2182,1799
21,Portugal,,6,2
22,Romania,,865,770
23,Slovenia,,61,66
24,Slovakia,,292,287
25,Finland,,15,15
26,Sweden,,131,138
27,United Kingdom,,60,28
28,Iceland,,0,0
29,Liechtenstein,,0,0
30,Norway,,20,21
31,Switzerland,,63,59
