,State,676,682,689,696,703,710,717
0,Washington,NaN,9040,7864,7317,7106,6920,6856
1,Illinois,NaN,29489,31815,32541,30483,26572,21988
2,California,NaN,24788,22988,22584,22617,22650,22787
3,Arizona,NaN,28400,28903,28606,27068,24666,21950
4,Massachusetts,NaN,16193,16953,16796,15505,13394,10954
5,Wisconsin,NaN,24767,24150,23215,21819,19821,17568
6,Texas,NaN,20382,21062,21363,20747,19743,18591
7,Nebraska,NaN,7460,7290,7100,6787,6329,5776
8,Utah,NaN,7225,6649,6251,5986,5702,5381
9,Oregon,NaN,5460,5145,5031,4910,4816,4677
10,Florida,NaN,10104,10755,11251,11645,12326,13430
11,New York,NaN,48398,52476,53620,51493,47173,41826
12,Rhode Island,NaN,2618,2979,3036,2851,2484,2034
13,Georgia,NaN,7266,7587,7692,7869,7917,8087
14,New Hampshire,NaN,4770,3846,3132,2468,1808,1183
15,North Carolina,NaN,12169,11916,11628,11344,10905,10350
16,New Jersey,NaN,15798,18415,19590,19357,18243,16761
17,Colorado,NaN,21807,20454,19234,18059,16568,14978
18,Maryland,NaN,6853,7687,8030,7765,7043,6058
19,Nevada,NaN,4103,3880,3785,3713,3627,3573
20,Tennessee,NaN,8497,8742,8917,8908,8865,8836
21,Hawaii,NaN,1073,1320,1445,1488,1475,1448
22,Indiana,NaN,21767,23200,23344,22228,20592,18445
23,Kentucky,NaN,10225,10322,10314,10019,9655,9260
24,Minnesota,NaN,26595,23804,21878,19991,18026,15796
25,Oklahoma,NaN,6383,7025,7254,7199,7095,6785
26,Pennsylvania,NaN,43552,42088,39302,35653,30973,25529
27,South Carolina,NaN,4359,4539,4649,4731,4769,4989
28,District of Columbia,NaN,712,725,726,688,601,497
29,Kansas,NaN,6321,5659,5356,5210,5062,4895
30,Missouri,NaN,10580,11731,12250,12122,11780,11301
31,Vermont,NaN,2529,2418,2273,2057,1730,1375
32,Virginia,NaN,10315,10718,10919,10750,10489,10063
33,Connecticut,NaN,4664,5463,5872,5789,5379,4809
34,Iowa,NaN,10260,10692,10770,10431,9887,9087
35,Louisiana,NaN,2636,2675,2752,2809,2859,2992
36,Ohio,NaN,40133,41992,41953,40373,37599,33958
37,Michigan,NaN,59646,59816,58067,53639,46999,39287
38,South Dakota,NaN,2554,2361,2226,2135,2024,1878
39,Arkansas,NaN,4246,4522,4597,4605,4588,4546
40,Delaware,NaN,1644,1682,1674,1652,1649,1656
41,Mississippi,NaN,2098,2161,2207,2216,2266,2346
42,New Mexico,NaN,9211,8369,7809,7241,6480,5662
43,North Dakota,NaN,3067,2696,2473,2388,2298,2222
44,Wyoming,NaN,1462,1260,1174,1145,1110,1112
45,Alaska,NaN,2139,1846,1704,1661,1656,1672
46,Maine,NaN,5053,5240,5113,4688,4138,3419
47,Alabama,NaN,3148,3196,3255,3269,3309,3389
48,Idaho,NaN,3465,3332,3207,3168,3140,3144
49,Montana,NaN,2573,2217,2031,1974,1954,1908
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,5854,5737,5517,5408,5232,5060
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
