,State,669,675,682,689,696,703,710
0,Washington,NaN,11915,11590,11342,10969,10474,9821
1,Illinois,NaN,29324,35847,38862,38164,35659,32125
2,California,NaN,33140,31299,30839,30199,29845,29236
3,Arizona,NaN,26105,27425,27419,26007,23748,21087
4,Massachusetts,NaN,15870,20359,21791,20347,17140,13210
5,Wisconsin,NaN,24819,26361,26512,24874,22214,19134
6,Texas,NaN,23969,26440,27691,27501,26825,25834
7,Nebraska,NaN,6899,6335,6038,5692,5275,4729
8,Utah,NaN,8546,8563,8392,7888,7241,6414
9,Oregon,NaN,5606,5317,5133,5079,4919,4745
10,Florida,NaN,10356,10909,11411,11719,12343,13254
11,New York,NaN,44007,50691,52857,51133,47023,41512
12,Rhode Island,NaN,1817,1998,2037,1937,1748,1499
13,Georgia,NaN,8254,8998,9347,9399,9472,9525
14,New Hampshire,NaN,6021,5926,5326,4429,3256,2190
15,North Carolina,NaN,13327,13878,13905,13522,12802,11870
16,New Jersey,NaN,13862,17622,19435,19177,17975,16245
17,Colorado,NaN,21875,21371,20573,19091,17102,14782
18,Maryland,NaN,6340,7438,8060,8171,8172,8122
19,Nevada,NaN,4332,4419,4438,4324,4191,4064
20,Tennessee,NaN,9176,10124,10521,10522,10450,10339
21,Hawaii,NaN,810,909,966,982,963,959
22,Indiana,NaN,19188,21041,21491,20822,19522,17780
23,Kentucky,NaN,10154,10563,10589,10430,10036,9586
24,Minnesota,NaN,29434,29235,27817,25383,21769,17745
25,Oklahoma,NaN,6519,7316,7615,7579,7396,7148
26,Pennsylvania,NaN,38743,39329,37700,34182,29056,23311
27,South Carolina,NaN,4831,4929,4985,5014,5084,5237
28,District of Columbia,NaN,627,656,656,626,570,501
29,Kansas,NaN,8036,8394,8477,8253,7839,7267
30,Missouri,NaN,16235,22908,25559,25049,22798,19942
31,Vermont,NaN,2480,2533,2487,2275,1931,1541
32,Virginia,NaN,10316,11214,11479,11300,10879,10273
33,Connecticut,NaN,5362,7694,8802,8702,7868,6732
34,Iowa,NaN,9092,9501,9566,9245,8724,8038
35,Louisiana,NaN,2868,3062,3162,3228,3300,3456
36,Ohio,NaN,38240,43286,45000,43402,39939,35569
37,Michigan,NaN,61012,73210,75713,69514,58973,47014
38,South Dakota,NaN,2889,2968,2901,2782,2592,2366
39,Arkansas,NaN,4145,4605,4755,4779,4714,4613
40,Delaware,NaN,1660,1594,1529,1482,1437,1363
41,Mississippi,NaN,2254,2275,2241,2287,2312,2377
42,New Mexico,NaN,9901,9750,9375,8641,7608,6449
43,North Dakota,NaN,3254,2964,2763,2647,2521,2398
44,Wyoming,NaN,1906,1660,1539,1483,1436,1390
45,Alaska,NaN,2617,2221,2020,1952,1918,1889
46,Maine,NaN,4036,4465,4527,4177,3600,2946
47,Alabama,NaN,3449,3236,3117,3139,3203,3304
48,Idaho,NaN,3266,2923,2758,2696,2646,2663
49,Montana,NaN,3628,3222,2993,2881,2815,2741
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,5863,5812,5602,5128,4484,3667
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
