,State,690,696,703,710,717,724,731
0,Washington,NaN,10486,10705,10716,10623,10526,10437
1,Illinois,NaN,50295,53128,52516,49175,43831,37469
2,California,NaN,51186,61791,66889,67207,65400,62571
3,Arizona,NaN,27396,26212,25322,24174,22961,21470
4,Massachusetts,NaN,30380,31596,30391,27295,22805,18010
5,Wisconsin,NaN,23087,21970,21124,20126,18906,17569
6,Texas,NaN,32479,48769,57051,57088,53897,49571
7,Nebraska,NaN,7193,6705,6328,6071,5748,5376
8,Utah,NaN,7143,6594,6230,6026,5869,5676
9,Oregon,NaN,5915,6024,6072,5984,5897,5735
10,Florida,NaN,17655,26299,31431,33068,33923,34083
11,New York,NaN,70140,75088,74696,68332,58100,46326
12,Rhode Island,NaN,3135,2986,2778,2490,2085,1650
13,Georgia,NaN,10055,11913,12891,13040,13036,12912
14,New Hampshire,NaN,7414,6255,5302,4497,3686,3062
15,North Carolina,NaN,22031,24753,25334,24325,22381,19854
16,New Jersey,NaN,30956,36127,37214,34298,29044,23209
17,Colorado,NaN,15157,13750,12849,12314,11916,11481
18,Maryland,NaN,3547,1842,1246,1088,1074,1094
19,Nevada,NaN,4431,4647,4718,4642,4527,4411
20,Tennessee,NaN,12588,14231,14924,14884,14580,14100
21,Hawaii,NaN,777,840,885,891,905,908
22,Indiana,NaN,32616,33736,33189,31088,27735,23832
23,Kentucky,NaN,16042,17063,17129,16538,15549,14247
24,Minnesota,NaN,28007,25307,23194,21792,20372,18750
25,Oklahoma,NaN,7175,7961,8222,8202,7944,7682
26,Pennsylvania,NaN,55035,53208,49895,45533,40097,34132
27,South Carolina,NaN,7703,9410,10264,10379,10178,9912
28,District of Columbia,NaN,1257,1548,1606,1480,1203,885
29,Kansas,NaN,12725,13030,12969,12321,11443,10381
30,Missouri,NaN,19683,22088,22906,22270,20725,18914
31,Vermont,NaN,3314,3192,2977,2778,2517,2233
32,Virginia,NaN,17154,20089,21117,20877,19777,18345
33,Connecticut,NaN,13282,18026,19309,17593,14075,10447
34,Iowa,NaN,14095,16296,16711,15776,14164,12189
35,Louisiana,NaN,3140,3517,3737,3848,3947,4078
36,Ohio,NaN,52984,53856,53073,50915,47102,42796
37,Michigan,NaN,53824,48428,45092,42778,40364,37633
38,South Dakota,NaN,2980,2722,2534,2444,2344,2230
39,Arkansas,NaN,5411,5729,5896,5841,5690,5497
40,Delaware,NaN,4154,4255,4011,3623,3030,2442
41,Mississippi,NaN,3272,3750,3934,3989,3970,3931
42,New Mexico,NaN,9651,8867,8268,7795,7317,6775
43,North Dakota,NaN,2656,2291,2086,1970,1854,1721
44,Wyoming,NaN,1109,986,940,928,917,933
45,Alaska,NaN,1406,1199,1113,1094,1107,1134
46,Maine,NaN,5608,6246,6247,5906,5339,4639
47,Alabama,NaN,3882,4548,4869,5006,5041,5123
48,Idaho,NaN,2902,2845,2805,2763,2777,2770
49,Montana,NaN,1581,1376,1265,1260,1269,1288
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,6992,6118,4754,3416,2289,1490
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
