,State,578,584,591,598,605,612,619
0,Washington,NaN,22227,24026,24187,22391,18987,15100
1,Illinois,NaN,21547,25167,26681,25512,22644,19065
2,California,NaN,100037,119510,127504,120206,103395,82784
3,Arizona,NaN,20489,21274,21432,20329,18381,15829
4,Massachusetts,NaN,8221,9542,10056,9707,8680,7285
5,Wisconsin,NaN,9598,11181,11927,11563,10565,9169
6,Texas,NaN,121150,168313,188325,171078,136925,99589
7,Nebraska,NaN,1653,1847,1886,1833,1720,1536
8,Utah,NaN,4896,5292,5379,5106,4493,3702
9,Oregon,NaN,12821,13936,13875,12605,10611,8383
10,Florida,NaN,131156,110438,90758,71420,50720,32583
11,New York,NaN,31428,32686,32434,29787,25652,20518
12,Rhode Island,NaN,1709,1867,1871,1723,1469,1159
13,Georgia,NaN,43482,46961,46677,42073,34073,25534
14,New Hampshire,NaN,1655,1942,2068,1967,1792,1509
15,North Carolina,NaN,35180,40152,41933,39475,34068,27696
16,New Jersey,NaN,13003,13906,13930,12950,11189,9082
17,Colorado,NaN,8449,8773,8729,8221,7396,6327
18,Maryland,NaN,7181,8182,8543,8222,7371,6257
19,Nevada,NaN,6230,6616,6851,6625,6088,5346
20,Tennessee,NaN,32577,37266,38258,34229,27871,20962
21,Hawaii,NaN,5192,5692,5784,5278,4343,3287
22,Indiana,NaN,19041,21377,21739,20228,17360,14000
23,Kentucky,NaN,21209,23399,23555,21136,17229,13057
24,Minnesota,NaN,7479,8229,8499,8108,7306,6284
25,Oklahoma,NaN,14953,15171,14751,13308,11023,8563
26,Pennsylvania,NaN,17333,20447,21652,20677,18212,15170
27,South Carolina,NaN,23516,27996,29393,26911,22199,16779
28,District of Columbia,NaN,1204,1194,1137,1007,797,562
29,Kansas,NaN,6940,6554,6165,5680,4991,4165
30,Missouri,NaN,14259,13386,12833,12083,10914,9564
31,Vermont,NaN,663,758,770,743,664,559
32,Virginia,NaN,14331,16427,17255,16517,14741,12632
33,Connecticut,NaN,4480,5108,5516,5341,4859,4102
34,Iowa,NaN,5244,6184,6579,6359,5745,4904
35,Louisiana,NaN,29654,25474,22409,18947,14733,10431
36,Ohio,NaN,22995,28155,30479,29584,26845,23071
37,Michigan,NaN,12882,15697,16999,16842,15730,14215
38,South Dakota,NaN,983,1190,1234,1160,1029,848
39,Arkansas,NaN,13324,11724,10498,9183,7547,5825
40,Delaware,NaN,2278,2526,2513,2259,1839,1387
41,Mississippi,NaN,23829,22814,20521,17047,12554,8491
42,New Mexico,NaN,4257,4434,4399,3973,3338,2642
43,North Dakota,NaN,1196,1487,1593,1516,1332,1129
44,Wyoming,NaN,1987,2249,2309,2184,1934,1616
45,Alaska,NaN,2586,2914,2999,2866,2534,2117
46,Maine,NaN,976,1010,1039,1007,941,826
47,Alabama,NaN,30747,32397,31737,27993,22452,16525
48,Idaho,NaN,4321,4805,4956,4692,4137,3488
49,Montana,NaN,1974,2168,2184,2094,1896,1627
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,4947,6267,6686,6362,5577,4632
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
