,Region,516,521,528,535,542
0,Belgium,,2714,2000,1515,1221
1,Bulgaria,,546,430,344,273
2,Czechia,,689,466,305,201
3,Denmark,,1518,1027,743,571
4,Germany,,5185,3147,2082,1561
5,Estonia,,249,192,150,119
6,Ireland,,2284,2208,2129,2030
7,Greece,,2789,1972,1399,1016
8,Spain,,20401,17724,15343,13452
9,France,,13546,9904,7497,6094
10,Croatia,,463,325,230,167
11,Italy,,6078,3990,2666,1784
12,Cyprus,,394,389,378,353
13,Latvia,,634,446,312,227
14,Lithuania,,514,320,212,153
15,Luxembourg,,114,94,77,67
16,Hungary,,398,254,180,130
17,Malta,,9,7,6,5
18,Netherlands,,4661,3167,2183,1631
19,Austria,,801,535,361,250
20,Poland,,1210,903,703,576
21,Portugal,,8643,10751,13175,15691
22,Romania,,367,232,151,100
23,Slovenia,,448,286,188,131
24,Slovakia,,237,172,129,98
25,Finland,,448,377,318,275
26,Sweden,,1009,638,430,316
27,United Kingdom,,80080,99595,117774,134680
28,Iceland,,1,1,1,1
29,Liechtenstein,,5,5,4,4
30,Norway,,1038,911,803,714
31,Switzerland,,1028,681,439,315
