,Region,495,500,507,514,521
0,Belgium,,12616,11552,10543,9627
1,Bulgaria,,1122,810,591,439
2,Czechia,,2532,1784,1322,1025
3,Denmark,,7049,6926,6733,6486
4,Germany,,23992,16173,11278,8392
5,Estonia,,789,583,464,384
6,Ireland,,202,179,160,144
7,Greece,,10561,9588,8558,7629
8,Spain,,27315,25153,23277,21713
9,France,,42516,32496,25582,21132
10,Croatia,,1625,1085,745,541
11,Italy,,20992,15811,12161,9556
12,Cyprus,,344,243,191,161
13,Latvia,,1954,1613,1349,1154
14,Lithuania,,2876,2120,1572,1187
15,Luxembourg,,395,346,312,285
16,Hungary,,1942,1360,1015,820
17,Malta,,31,35,45,66
18,Netherlands,,17968,14658,11956,9989
19,Austria,,2826,2320,1929,1609
20,Poland,,5351,3989,3359,3073
21,Portugal,,3493,3762,4040,4303
22,Romania,,1819,1355,1074,921
23,Slovenia,,1744,1465,1216,1015
24,Slovakia,,673,485,364,277
25,Finland,,929,807,718,646
26,Sweden,,8242,5147,3676,2948
27,United Kingdom,,22403,26025,29271,32752
28,Iceland,,8,7,7,7
29,Liechtenstein,,9,8,7,7
30,Norway,,2504,2402,2300,2203
31,Switzerland,,7392,6894,6324,5731
