,Region,488,493,500,507,514
0,Belgium,,15246,14203,13368,12631
1,Bulgaria,,1846,1371,1066,898
2,Czechia,,4042,3083,2395,1963
3,Denmark,,7019,7251,7428,7618
4,Germany,,45387,36111,29998,25958
5,Estonia,,1378,1193,1054,958
6,Ireland,,792,715,669,638
7,Greece,,12407,11878,11437,11038
8,Spain,,25838,23125,21278,19800
9,France,,35883,26173,19247,14721
10,Croatia,,2818,1966,1442,1188
11,Italy,,28433,21338,17491,15651
12,Cyprus,,623,428,335,289
13,Latvia,,2980,2744,2560,2438
14,Lithuania,,5043,4242,3635,3190
15,Luxembourg,,576,524,477,441
16,Hungary,,3260,2447,1945,1667
17,Malta,,24,18,15,14
18,Netherlands,,22931,17995,14727,12651
19,Austria,,3452,2632,2075,1697
20,Poland,,8750,6163,4899,4200
21,Portugal,,3049,3380,3761,4193
22,Romania,,3078,2311,1861,1626
23,Slovenia,,2171,1836,1588,1415
24,Slovakia,,1150,915,765,663
25,Finland,,1370,1370,1369,1380
26,Sweden,,21453,19137,17231,15524
27,United Kingdom,,13429,13446,13756,14452
28,Iceland,,23,22,21,21
29,Liechtenstein,,17,17,17,17
30,Norway,,3085,3205,3368,3562
31,Switzerland,,7696,7854,7782,7453
