,Region,649,654,661,668,675
0,Belgium,,64169,84510,102682,94648
1,Bulgaria,,39628,44552,42069,36642
2,Czechia,,47782,73035,107437,154289
3,Denmark,,13906,17320,19490,19522
4,Germany,,164106,209863,262573,321570
5,Estonia,,14206,16378,17640,18574
6,Ireland,,16476,15619,15204,15201
7,Greece,,27726,29910,32185,34976
8,Spain,,15182,16943,18552,19478
9,France,,43758,49486,55794,62670
10,Croatia,,30311,37573,43134,40731
11,Italy,,38447,51687,54028,60648
12,Cyprus,,1056,1092,1142,1192
13,Latvia,,18931,18710,17893,16661
14,Lithuania,,22694,24240,25486,25916
15,Luxembourg,,1224,1354,1538,1717
16,Hungary,,29902,41361,52880,62886
17,Malta,,81,75,68,62
18,Netherlands,,65790,85940,88504,85892
19,Austria,,38222,45363,51102,47513
20,Poland,,75668,107485,134094,194150
21,Portugal,,5252,5676,6086,6370
22,Romania,,81891,72168,63344,55298
23,Slovenia,,20148,27148,33854,35348
24,Slovakia,,34488,44802,55986,63383
25,Finland,,4104,4371,4524,4532
26,Sweden,,5844,7005,9057,11827
27,United Kingdom,,314654,310692,296075,279477
28,Iceland,,510,521,518,523
29,Liechtenstein,,35,38,40,41
30,Norway,,7260,8742,10460,12415
31,Switzerland,,11056,12638,15226,16212
