,State,277,283,290,297,304,311,318,325,332,339,346,353,360
0,Washington,2296,72,88,107,127,145,160,172,180,186,191,196,202
1,Illinois,9775,363,468,579,674,723,727,700,652,598,548,507,471
2,California,17358,467,545,650,763,860,932,975,986,977,960,942,923
3,Arizona,5874,66,77,90,101,105,103,98,89,80,72,66,60
4,Massachusetts,9864,139,150,160,165,163,155,145,133,121,110,101,92
5,Wisconsin,1778,240,329,433,533,598,623,615,582,538,493,453,416
6,Texas,17955,415,430,463,504,540,562,570,562,545,524,503,482
7,Nebraska,596,70,102,141,180,205,214,211,198,183,168,155,144
8,Utah,572,31,31,31,33,36,40,45,50,57,63,69,75
9,Oregon,653,34,39,46,54,62,70,77,84,90,97,103,109
10,Florida,16429,494,459,428,406,396,391,389,389,388,384,377,366
11,New York,33422,63,55,48,43,39,35,33,30,28,27,25,23
12,Rhode Island,1177,32,39,44,47,46,43,39,35,31,28,25,23
13,Georgia,7809,207,210,217,224,232,238,241,241,239,235,229,223
14,New Hampshire,473,5,2,1,0,0,0,0,1,1,1,2,2
15,North Carolina,4157,265,324,387,447,491,518,532,533,526,517,508,499
16,New Jersey,16285,93,123,155,176,174,156,131,107,85,69,58,50
17,Colorado,2223,34,27,21,18,16,17,18,21,24,28,32,36
18,Maryland,4096,53,56,58,60,62,63,65,67,68,70,71,72
19,Nevada,1744,32,27,23,21,20,19,20,21,22,23,24,24
20,Tennessee,3131,212,258,313,367,406,424,426,412,390,368,346,326
21,Hawaii,212,31,40,52,66,78,87,92,93,91,87,83,79
22,Indiana,4130,256,310,356,389,402,398,386,368,349,331,315,299
23,Kentucky,1407,117,141,166,188,205,216,223,228,230,231,233,233
24,Minnesota,2402,131,154,175,194,209,219,226,231,234,236,239,240
25,Oklahoma,1249,98,116,135,153,167,176,183,186,186,186,185,183
26,Pennsylvania,8647,209,240,266,289,303,310,311,309,304,299,295,291
27,South Carolina,3802,195,265,353,436,479,477,442,386,326,275,233,200
28,District of Columbia,642,1,0,0,0,0,0,0,0,0,0,0,0
29,Kansas,956,119,134,148,162,174,183,190,195,197,197,196,193
30,Missouri,2820,191,195,200,209,221,231,240,248,254,258,260,261
31,Vermont,58,0,0,0,0,0,0,0,0,0,0,0,0
32,Virginia,3579,184,255,345,439,509,545,549,527,492,456,425,398
33,Connecticut,4577,46,68,95,119,129,127,116,103,89,79,71,65
34,Iowa,1635,120,144,170,193,207,213,211,204,193,182,172,162
35,Louisiana,5837,91,90,89,87,82,75,68,60,53,47,41,36
36,Ohio,5206,207,376,668,1053,1367,1510,1479,1313,1109,932,797,694
37,Michigan,7522,237,324,420,507,556,567,552,519,481,447,421,398
38,South Dakota,375,56,66,74,79,81,78,74,68,62,56,50,45
39,Arkansas,1812,109,100,92,87,85,84,85,85,85,84,83,80
40,Delaware,681,14,16,18,20,22,22,22,22,21,20,19,19
41,Mississippi,3255,91,96,100,101,98,91,84,75,66,59,52,47
42,New Mexico,967,41,54,68,79,84,85,83,80,76,72,70,68
43,North Dakota,456,51,46,40,35,32,31,29,29,28,27,25,24
44,Wyoming,68,19,35,56,78,89,89,82,71,60,51,44,39
45,Alaska,68,1,1,1,0,0,0,0,1,1,1,1,2
46,Maine,146,0,0,0,0,0,0,0,0,0,0,1,1
47,Alabama,2866,91,83,75,71,69,70,72,76,79,82,85,87
48,Idaho,573,56,88,134,182,210,213,197,170,141,117,98,83
49,Montana,297,67,78,82,83,82,78,75,72,69,66,63,59
50,Puerto Rico,801,34,41,52,67,82,96,107,114,118,120,122,122
51,Virgin Islands,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,425,32,46,64,86,104,116,122,121,116,110,105,100
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
