,State,572,577
0,Washington,NaN,1490
1,Illinois,NaN,1705
2,California,NaN,6805
3,Arizona,NaN,1550
4,Massachusetts,NaN,644
5,Wisconsin,NaN,768
6,Texas,NaN,8075
7,Nebraska,NaN,156
8,Utah,NaN,471
9,Oregon,NaN,923
10,Florida,NaN,12133
11,New York,NaN,2303
12,Rhode Island,NaN,141
13,Georgia,NaN,3288
14,New Hampshire,NaN,93
15,North Carolina,NaN,2901
16,New Jersey,NaN,935
17,Colorado,NaN,626
18,Maryland,NaN,478
19,Nevada,NaN,603
20,Tennessee,NaN,2168
21,Hawaii,NaN,367
22,Indiana,NaN,1231
23,Kentucky,NaN,1344
24,Minnesota,NaN,567
25,Oklahoma,NaN,1124
26,Pennsylvania,NaN,1176
27,South Carolina,NaN,1756
28,District of Columbia,NaN,87
29,Kansas,NaN,664
30,Missouri,NaN,1542
31,Vermont,NaN,58
32,Virginia,NaN,1040
33,Connecticut,NaN,300
34,Iowa,NaN,418
35,Louisiana,NaN,3263
36,Ohio,NaN,1391
37,Michigan,NaN,800
38,South Dakota,NaN,92
39,Arkansas,NaN,1227
40,Delaware,NaN,137
41,Mississippi,NaN,1820
42,New Mexico,NaN,381
43,North Dakota,NaN,79
44,Wyoming,NaN,144
45,Alaska,NaN,177
46,Maine,NaN,97
47,Alabama,NaN,2211
48,Idaho,NaN,317
49,Montana,NaN,158
50,Puerto Rico,NaN,NaN
51,Virgin Islands,NaN,NaN
52,Guam,NaN,NaN
53,West Virginia,NaN,227
54,Northern Mariana Islands,NaN,NaN
55,American Samoa,NaN,NaN
