,Region,796,801,808,815,822
0,Belgium,,74524,74524,74524,74524
1,Bulgaria,,9388,9388,9388,9388
2,Czechia,,51433,51433,51433,51433
3,Denmark,,39281,39281,39281,39281
4,Germany,,774990,774990,774990,774990
5,Estonia,,9516,9516,9516,9516
6,Ireland,,57478,57478,57478,57478
7,Greece,,140700,140700,140700,140700
8,Spain,,127039,127039,127039,127039
9,France,,845606,845606,845606,845606
10,Croatia,,9987,9987,9987,9987
11,Italy,,503932,503932,503932,503932
12,Cyprus,,32048,32048,32048,32048
13,Latvia,,20352,20352,20352,20352
14,Lithuania,,23578,23578,23578,23578
15,Luxembourg,,9021,9021,9021,9021
16,Hungary,,15269,15269,15269,15269
17,Malta,,2434,2434,2434,2434
18,Netherlands,,252285,252285,252285,252285
19,Austria,,269500,269500,269500,269500
20,Poland,,54289,54289,54289,54289
21,Portugal,,75276,75276,75276,75276
22,Romania,,25051,25051,25051,25051
23,Slovenia,,20100,20100,20100,20100
24,Slovakia,,64514,64514,64514,64514
25,Finland,,58401,58401,58401,58401
26,Sweden,,6049,6049,6049,6049
27,United Kingdom,,597361,597361,597361,597361
28,Iceland,,7579,7579,7579,7579
29,Liechtenstein,,774,774,774,774
30,Norway,,18673,18673,18673,18673
31,Switzerland,,150596,150596,150596,150596
