,Region,705,710,717,724,731
0,Belgium,,38347,38347,38347,38347
1,Bulgaria,,9545,9545,9545,9545
2,Czechia,,47402,47402,47402,47402
3,Denmark,,31351,31351,31351,31351
4,Germany,,186189,186189,186189,186189
5,Estonia,,4439,4439,4439,4439
6,Ireland,,53846,53846,53846,53846
7,Greece,,39594,39594,39594,39594
8,Spain,,262480,262480,262480,262480
9,France,,505308,505308,505308,505308
10,Croatia,,19675,19675,19675,19675
11,Italy,,257579,257579,257579,257579
12,Cyprus,,5135,5135,5135,5135
13,Latvia,,4512,4512,4512,4512
14,Lithuania,,9766,9766,9766,9766
15,Luxembourg,,2875,2875,2875,2875
16,Hungary,,19035,19035,19035,19035
17,Malta,,4107,4107,4107,4107
18,Netherlands,,86380,86380,86380,86380
19,Austria,,15437,15437,15437,15437
20,Poland,,100721,100721,100721,100721
21,Portugal,,55217,55217,55217,55217
22,Romania,,4690,4690,4690,4690
23,Slovenia,,7592,7592,7592,7592
24,Slovakia,,28055,28055,28055,28055
25,Finland,,17074,17074,17074,17074
26,Sweden,,22428,22428,22428,22428
27,United Kingdom,,611864,611864,611864,611864
28,Iceland,,1855,1855,1855,1855
29,Liechtenstein,,249,249,249,249
30,Norway,,24721,24721,24721,24721
31,Switzerland,,51674,51674,51674,51674
