,Region,649,654,661,668,675
0,Belgium,,48290,48290,48290,48290
1,Bulgaria,,32962,32962,32962,32962
2,Czechia,,31131,31131,31131,31131
3,Denmark,,11186,11186,11186,11186
4,Germany,,132325,132325,132325,132325
5,Estonia,,11840,11840,11840,11840
6,Ireland,,15479,15479,15479,15479
7,Greece,,25165,25165,25165,25165
8,Spain,,13416,13416,13416,13416
9,France,,38213,38213,38213,38213
10,Croatia,,23997,23997,23997,23997
11,Italy,,29978,29978,29978,29978
12,Cyprus,,1021,1021,1021,1021
13,Latvia,,17018,17018,17018,17018
14,Lithuania,,20455,20455,20455,20455
15,Luxembourg,,1080,1080,1080,1080
16,Hungary,,19594,19594,19594,19594
17,Malta,,98,98,98,98
18,Netherlands,,47607,47607,47607,47607
19,Austria,,30315,30315,30315,30315
20,Poland,,49900,49900,49900,49900
21,Portugal,,5354,5354,5354,5354
22,Romania,,90404,90404,90404,90404
23,Slovenia,,15776,15776,15776,15776
24,Slovakia,,26506,26506,26506,26506
25,Finland,,4375,4375,4375,4375
26,Sweden,,5516,5516,5516,5516
27,United Kingdom,,285028,285028,285028,285028
28,Iceland,,593,593,593,593
29,Liechtenstein,,39,39,39,39
30,Norway,,6560,6560,6560,6560
31,Switzerland,,10147,10147,10147,10147
