,State,740,745,752,759,766
0,Washington,10776,307,337,339,322
1,Illinois,33346,892,904,881,835
2,California,80044,1374,1470,1432,1343
3,Arizona,26205,394,396,375,345
4,Massachusetts,22034,568,604,611,593
5,Wisconsin,12374,378,400,395,371
6,Texas,79447,1409,1529,1542,1459
7,Nebraska,3666,85,92,95,94
8,Utah,4118,64,61,58,55
9,Oregon,6100,141,146,139,129
10,Florida,65265,1356,1445,1348,1222
11,New York,64846,1755,1839,1836,1781
12,Rhode Island,3316,77,81,80,76
13,Georgia,32976,662,729,720,668
14,New Hampshire,2209,75,83,82,76
15,North Carolina,20757,429,450,443,420
16,New Jersey,31442,888,962,979,947
17,Colorado,11115,274,282,270,251
18,Maryland,13484,383,352,323,295
19,Nevada,8950,201,215,208,195
20,Tennessee,22142,585,640,629,586
21,Hawaii,1181,38,41,40,37
22,Indiana,21356,571,556,539,523
23,Kentucky,12960,130,120,110,100
24,Minnesota,11561,224,223,215,202
25,Oklahoma,13333,167,171,166,157
26,Pennsylvania,40581,1238,1241,1179,1103
27,South Carolina,15266,99,98,95,89
28,District of Columbia,1284,13,12,11,10
29,Kansas,7533,41,43,42,39
30,Missouri,17415,168,172,167,157
31,Vermont,536,24,25,24,22
32,Virginia,16217,246,278,276,256
33,Connecticut,10010,194,209,202,182
34,Iowa,8501,175,168,156,143
35,Louisiana,15674,344,378,372,349
36,Ohio,33537,454,366,289,228
37,Michigan,32263,195,136,95,68
38,South Dakota,2650,47,48,46,43
39,Arkansas,9628,96,91,83,76
40,Delaware,2531,34,31,27,24
41,Mississippi,10935,113,119,118,112
42,New Mexico,6454,162,165,160,150
43,North Dakota,2140,31,33,33,31
44,Wyoming,1625,16,14,12,11
45,Alaska,1085,41,43,41,34
46,Maine,1738,30,27,25,23
47,Alabama,17086,66,57,49,40
48,Idaho,4421,50,52,50,46
49,Montana,3000,28,27,26,24
50,Puerto Rico,3855,241,258,250,233
51,Virgin Islands,101,4,4,4,4
52,Guam,290,5,5,5,5
53,West Virginia,5763,136,144,142,134
54,Northern Mariana Islands,23,1,1,1,1
55,American Samoa,0,0,0,0,0
