,Region,691,696,703,710,717
0,Belgium,,344,331,300,275
1,Bulgaria,,564,472,395,326
2,Czechia,,783,746,696,644
3,Denmark,,85,104,118,118
4,Germany,,2681,2699,2562,2317
5,Estonia,,24,20,18,16
6,Ireland,,78,86,80,77
7,Greece,,616,562,491,432
8,Spain,,288,366,462,568
9,France,,1070,1378,1746,2157
10,Croatia,,388,338,280,238
11,Italy,,746,872,984,1102
12,Cyprus,,10,13,16,18
13,Latvia,,96,81,74,62
14,Lithuania,,120,108,98,92
15,Luxembourg,,13,14,14,14
16,Hungary,,1269,1200,1045,846
17,Malta,,2,3,3,3
18,Netherlands,,452,451,448,418
19,Austria,,364,268,175,98
20,Poland,,3100,3158,2947,2741
21,Portugal,,154,176,201,210
22,Romania,,402,277,188,130
23,Slovenia,,89,68,54,42
24,Slovakia,,584,545,443,366
25,Finland,,68,69,73,78
26,Sweden,,28,31,34,36
27,United Kingdom,,916,974,1036,1051
28,Iceland,,0,0,0,0
29,Liechtenstein,,3,4,4,4
30,Norway,,56,69,79,86
31,Switzerland,,194,227,255,280
