,Region,803,808,815,822,829
0,Belgium,,125,118,110,106
1,Bulgaria,,109,83,72,61
2,Czechia,,139,119,105,92
3,Denmark,,136,110,92,92
4,Germany,,1632,1693,1623,1492
5,Estonia,,24,17,13,12
6,Ireland,,78,82,76,76
7,Greece,,437,461,470,476
8,Spain,,274,252,240,212
9,France,,748,804,872,873
10,Croatia,,74,68,65,61
11,Italy,,1085,1145,1138,1165
12,Cyprus,,13,13,13,13
13,Latvia,,47,33,22,15
14,Lithuania,,73,59,46,34
15,Luxembourg,,11,10,10,8
16,Hungary,,224,208,194,190
17,Malta,,12,14,16,18
18,Netherlands,,94,80,67,60
19,Austria,,306,293,250,197
20,Poland,,392,285,191,131
21,Portugal,,204,223,253,292
22,Romania,,152,138,112,103
23,Slovenia,,26,26,26,22
24,Slovakia,,121,103,86,73
25,Finland,,161,142,107,92
26,Sweden,,121,94,74,59
27,United Kingdom,,1008,996,838,776
28,Iceland,,4,2,1,1
29,Liechtenstein,,1,1,1,1
30,Norway,,131,116,90,58
31,Switzerland,,68,45,27,17
