,Region,670,675,682,689,696
0,Belgium,,304,386,462,513
1,Bulgaria,,966,784,650,542
2,Czechia,,814,1170,1647,2184
3,Denmark,,55,70,85,98
4,Germany,,1831,2459,3222,3708
5,Estonia,,61,49,40,30
6,Ireland,,76,86,98,106
7,Greece,,653,732,770,770
8,Spain,,152,149,156,180
9,France,,364,426,538,634
10,Croatia,,495,534,530,495
11,Italy,,485,606,732,851
12,Cyprus,,6,8,9,10
13,Latvia,,197,163,128,98
14,Lithuania,,180,162,138,110
15,Luxembourg,,8,8,10,10
16,Hungary,,1284,1713,2268,2831
17,Malta,,1,1,2,2
18,Netherlands,,290,362,429,488
19,Austria,,398,560,698,816
20,Poland,,2588,3415,4324,5488
21,Portugal,,77,96,114,138
22,Romania,,1562,1177,851,590
23,Slovenia,,140,158,165,172
24,Slovakia,,412,504,598,651
25,Finland,,33,33,32,30
26,Sweden,,27,27,27,27
27,United Kingdom,,1044,1066,1036,1003
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,55,70,80,88
31,Switzerland,,72,91,106,114
